instrument,temperature_c,pressure_pa,humidity_min_g_m3,humidity_max_g_m3,slope_db_per_m_per_g_m3,intercept_db_per_m
VNA,20.0,102700.0,7.5,16.417851324750092,0.03642792624068962,0.02271865318227777
VNA,25.0,102700.0,7.5,21.869021516224805,0.034949543584538854,0.03189861041705532
VNA,30.0,102700.0,7.5,28.809225582277186,0.03332413859525128,0.04477338302274877
VNA,35.0,102700.0,7.5,37.55698814186269,0.03155108985037737,0.06257052076161285
VNA,40.0,102700.0,7.5,40.5,0.030574104310159004,0.06886245069473867
VNA,45.0,102700.0,7.5,40.5,0.02997753646161042,0.06877090598783529
TDS,20.0,97400.0,7.5,16.417851324750092,0.03803024427922133,0.02537659838599295
TDS,25.0,97400.0,7.5,21.869021516224805,0.03643495765207648,0.03555053560747944
TDS,30.0,97400.0,7.5,28.809225582277186,0.034679515035435184,0.04977261970710751
TDS,35.0,97400.0,7.5,37.55698814186269,0.03276509536003504,0.06935792584913056
TDS,40.0,97400.0,7.5,40.5,0.03172989753196594,0.07621654955392046
TDS,45.0,97400.0,7.5,40.5,0.031112079905696362,0.07605405925289586
