length_ghz,rho,gas,floor_over_reference_scale,nuisance_rank,condition_number
1,0.0,CO,21.19960699470484,4,19330.59708259998
1,0.0,O3,289.4072167865385,4,19330.59708259998
1,0.0,SO2,111.17333777755677,4,19330.59708259998
1,0.0,NO2,2706.1935784066113,4,19330.59708259998
1,0.5,CO,22.153507922389476,4,18907.083650073357
1,0.5,O3,302.78905278433047,4,18907.083650073357
1,0.5,SO2,115.83717883641145,4,18907.083650073357
1,0.5,NO2,2804.6353811050053,4,18907.083650073357
1,0.9,CO,22.865450625489448,4,18614.597857429253
1,0.9,O3,312.76633496370033,4,18614.597857429253
1,0.9,SO2,119.3489403704153,4,18614.597857429253
1,0.9,NO2,2878.145263137174,4,18614.597857429253
10,0.0,CO,21.19960699470484,4,19330.59708259998
10,0.0,O3,289.4072167865385,4,19330.59708259998
10,0.0,SO2,111.17333777755677,4,19330.59708259998
10,0.0,NO2,2706.1935784066113,4,19330.59708259998
10,0.5,CO,23.229691327979154,4,17120.358938400583
10,0.5,O3,337.93240291806956,4,17120.358938400583
10,0.5,SO2,122.84152344445388,4,17120.358938400583
10,0.5,NO2,2861.598667230506,4,17120.358938400583
10,0.9,CO,23.588593411262426,4,16067.483799766778
10,0.9,O3,352.09066177114323,4,16067.483799766778
10,0.9,SO2,125.72021229205679,4,16067.483799766778
10,0.9,NO2,2845.8988349215124,4,16067.483799766778
100,0.0,CO,21.19960699470484,4,19330.59708259998
100,0.0,O3,289.4072167865385,4,19330.59708259998
100,0.0,SO2,111.17333777755677,4,19330.59708259998
100,0.0,NO2,2706.1935784066113,4,19330.59708259998
100,0.5,CO,20.52971364862023,4,19161.442066608884
100,0.5,O3,289.39776608594576,4,19161.442066608884
100,0.5,SO2,108.35326121809757,4,19161.442066608884
100,0.5,NO2,2645.3368077061527,4,19161.442066608884
100,0.9,CO,19.387322131507467,4,18839.717580913824
100,0.9,O3,279.9486788825537,4,18839.717580913824
100,0.9,SO2,103.91848183015478,4,18839.717580913824
100,0.9,NO2,2489.12154403121,4,18839.717580913824
