model,pilots,residual_std_db,gas,floor_over_reference_scale,probes
power,30,0.0,CO,16.89371706901672,202
power,30,0.0,O3,236.5238730572947,202
power,30,0.0,SO2,89.64406056566888,202
power,30,0.0,NO2,2316.1936708283906,202
power,30,0.001,CO,16.89372994109441,202
power,30,0.001,O3,236.52405319953024,202
power,30,0.001,SO2,89.64412649620887,202
power,30,0.001,NO2,2316.195420171365,202
power,30,0.01,CO,16.895004228160563,202
power,30,0.01,O3,236.5418865939422,202
power,30,0.01,SO2,89.65065337657437,202
power,30,0.01,NO2,2316.368598375125,202
power,30,0.1,CO,17.02194931362824,202
power,30,0.1,O3,238.31843298061563,202
power,30,0.1,SO2,90.30092984279906,202
power,30,0.1,NO2,2333.620159489724,202
power,30,0.63,CO,21.399680668025997,202
power,30,0.63,O3,299.5630054493532,202
power,30,0.63,SO2,112.79209583137744,202
power,30,0.63,NO2,2928.1458197758934,202
power,300,0.0,CO,5.342262408455727,202
power,300,0.0,O3,74.79541598656597,202
power,300,0.0,SO2,28.347941009359033,202
power,300,0.0,NO2,732.4447501884588,202
power,300,0.001,CO,5.34230311340306,202
power,300,0.001,O3,74.79598564429172,202
power,300,0.001,SO2,28.3481494993365,202
power,300,0.001,NO2,732.4502820755437,202
power,300,0.01,CO,5.346331363039863,202
power,300,0.01,O3,74.85236012515453,202
power,300,0.01,SO2,28.368782327729207,202
power,300,0.01,NO2,732.9977278292309,202
power,300,0.1,CO,5.73483494409106,202
power,300,0.1,O3,80.28872348400387,202
power,300,0.1,SO2,30.360562070067584,202
power,300,0.1,NO2,785.7820421906423,202
power,300,0.63,CO,14.176857769816813,202
power,300,0.63,O3,198.35910402520747,202
power,300,0.63,SO2,74.03652565149586,202
power,300,0.63,NO2,1932.3849481412376,202
power,3000,0.0,CO,1.6893717069017697,202
power,3000,0.0,O3,23.652387305730418,202
power,3000,0.0,SO2,8.964406056565457,202
power,3000,0.0,NO2,231.6193670828183,202
power,3000,0.001,CO,1.6895004228162023,202
power,3000,0.001,O3,23.6541886593949,202
power,3000,0.001,SO2,8.965065337656444,202
power,3000,0.001,NO2,231.636859837441,202
power,3000,0.01,CO,1.7021949313628246,202
power,3000,0.01,O3,23.831843298062463,202
power,3000,0.01,SO2,9.030092984281184,202
power,3000,0.01,NO2,233.36201594897378,202
power,3000,0.1,CO,2.683320305786487,202
power,3000,0.1,O3,37.555569219667554,202
power,3000,0.1,SO2,14.083064854399622,202
power,3000,0.1,NO2,366.5778044583275,202
power,3000,0.63,CO,13.23879989636897,202
power,3000,0.63,O3,185.19862090192586,202
power,3000,0.63,SO2,68.96192150779643,202
power,3000,0.63,NO2,1802.096433610945,202
power,30000,0.0,CO,0.5342262408456152,202
power,30000,0.0,O3,7.4795415986555165,202
power,30000,0.0,SO2,2.8347941009353788,202
power,30000,0.0,NO2,73.24447501882511,202
power,30000,0.001,CO,0.5346331363039716,202
power,30000,0.001,O3,7.48523601251603,202
power,30000,0.001,SO2,2.8368782327738793,202
power,30000,0.001,NO2,73.29977278294542,202
power,30000,0.01,CO,0.5734834944091146,202
power,30000,0.01,O3,8.02887234840085,202
power,30000,0.01,SO2,3.036056207006955,202
power,30000,0.01,NO2,78.57820421907601,202
power,30000,0.1,CO,2.151662994223058,202
power,30000,0.1,O3,30.101971277107317,202
power,30000,0.1,SO2,11.218556138983965,202
power,30000,0.1,NO2,293.03746867825924,202
