model,pilots,residual_std_db,rho,gas,predicted_sd_ratio,empirical_rmse_ratio,deterministic_bias_allowance_db,independent_fit_actual_sd_ratio,pilot_time_lower_bound_s,pilot_energy_lower_bound_j
power,30,0.0,0.0,CO,16.893717069016297,16.70355853504376,,16.893717069016297,3e-05,5.985786944906639e-06
power,30,0.0,0.0,O3,236.5238730573171,235.8795559081621,,236.5238730573171,3e-05,5.985786944906639e-06
power,30,0.0,0.0,SO2,89.64406056566415,88.32297512527893,,89.64406056566415,3e-05,5.985786944906639e-06
power,30,0.0,0.0,NO2,2316.1936708280437,2338.636383438504,,2316.1936708280437,3e-05,5.985786944906639e-06
power,30,0.0,0.9,CO,16.893717069016297,16.70355853504376,,16.893717069016297,3e-05,5.985786944906639e-06
power,30,0.0,0.9,O3,236.5238730573171,235.8795559081621,,236.5238730573171,3e-05,5.985786944906639e-06
power,30,0.0,0.9,SO2,89.64406056566415,88.32297512527893,,89.64406056566415,3e-05,5.985786944906639e-06
power,30,0.0,0.9,NO2,2316.1936708280437,2338.636383438504,,2316.1936708280437,3e-05,5.985786944906639e-06
power,30,0.001,0.0,CO,16.89372994109571,16.703571265834885,,16.89372994109571,3e-05,5.985786944906639e-06
power,30,0.001,0.0,O3,236.52405319952138,235.87973549695184,,236.52405319952138,3e-05,5.985786944906639e-06
power,30,0.001,0.0,SO2,89.64412649620917,88.32304014022652,,89.64412649620917,3e-05,5.985786944906639e-06
power,30,0.001,0.0,NO2,2316.1954201708454,2338.6381528215916,,2316.1954201708454,3e-05,5.985786944906639e-06
power,30,0.001,0.9,CO,16.893754578555182,16.703595166576893,,16.89375457875555,3e-05,5.985786944906639e-06
power,30,0.001,0.9,O3,236.52453325630452,235.88020884440886,,236.52453325859557,3e-05,5.985786944906639e-06
power,30,0.001,0.9,SO2,89.64426097801454,88.32317404371608,,89.64426097879068,3e-05,5.985786944906639e-06
power,30,0.001,0.9,NO2,2316.197575346015,2338.640422631011,,2316.197575368919,3e-05,5.985786944906639e-06
power,30,0.01,0.0,CO,16.89500422816123,16.70483156590164,,16.89500422816123,3e-05,5.985786944906639e-06
power,30,0.01,0.0,O3,236.54188659392983,235.8975141062514,,236.54188659392983,3e-05,5.985786944906639e-06
power,30,0.01,0.0,SO2,89.65065337654676,88.32947638000601,,89.65065337654676,3e-05,5.985786944906639e-06
power,30,0.01,0.0,NO2,2316.3685983746727,2338.8133149225796,,2316.3685983746727,3e-05,5.985786944906639e-06
power,30,0.01,0.9,CO,16.897465634568544,16.707219353991416,,16.897467626043568,3e-05,5.985786944906639e-06
power,30,0.01,0.9,O3,236.58986095324957,235.94481782572257,,236.58988396839734,3e-05,5.985786944906639e-06
power,30,0.01,0.9,SO2,89.66409181504868,88.34285705806818,,89.6640996083425,3e-05,5.985786944906639e-06
power,30,0.01,0.9,NO2,2316.583867402532,2339.0400317964595,,2316.5840924754966,3e-05,5.985786944906639e-06
power,300,0.0,0.0,CO,5.342262408455841,5.28212900006869,,5.342262408455841,0.0003,5.985786944906639e-05
power,300,0.0,0.0,O3,74.79541598656081,74.59166501387742,,74.79541598656081,0.0003,5.985786944906639e-05
power,300,0.0,0.0,SO2,28.347941009355484,27.93017711182466,,28.347941009355484,0.0003,5.985786944906639e-05
power,300,0.0,0.0,NO2,732.4447501884069,739.5417590605463,,732.4447501884069,0.0003,5.985786944906639e-05
power,300,0.0,0.9,CO,5.342262408455841,5.28212900006869,,5.342262408455841,0.0003,5.985786944906639e-05
power,300,0.0,0.9,O3,74.79541598656081,74.59166501387742,,74.79541598656081,0.0003,5.985786944906639e-05
power,300,0.0,0.9,SO2,28.347941009355484,27.93017711182466,,28.347941009355484,0.0003,5.985786944906639e-05
power,300,0.0,0.9,NO2,732.4447501884069,739.5417590605463,,732.4447501884069,0.0003,5.985786944906639e-05
power,300,0.001,0.0,CO,5.342303113402997,5.282169258224849,,5.342303113402997,0.0003,5.985786944906639e-05
power,300,0.001,0.0,O3,74.79598564429155,74.59223292158173,,74.79598564429155,0.0003,5.985786944906639e-05
power,300,0.001,0.0,SO2,28.348149499333385,27.93038270644558,,28.348149499333385,0.0003,5.985786944906639e-05
power,300,0.001,0.0,NO2,732.4502820753979,739.5473543199007,,732.4502820753979,0.0003,5.985786944906639e-05
power,300,0.001,0.9,CO,5.342381017160375,5.282244832431424,,5.342381023465856,0.0003,5.985786944906639e-05
power,300,0.001,0.9,O3,74.79750362698859,74.59372968834217,,74.79750369984009,0.0003,5.985786944906639e-05
power,300,0.001,0.9,SO2,28.348574740097245,27.930806118608015,,28.34857476476992,0.0003,5.985786944906639e-05
power,300,0.001,0.9,NO2,732.4570966236896,739.5545313288106,,732.4570973362066,0.0003,5.985786944906639e-05
power,300,0.01,0.0,CO,5.34633136303993,5.286153292324828,,5.34633136303993,0.0003,5.985786944906639e-05
power,300,0.01,0.0,O3,74.85236012514628,74.64843422144413,,74.85236012514628,0.0003,5.985786944906639e-05
