model,pilots,sigma,rho,target_identity_error,nuisance_scaled_error,condition
power,30,0.0,0.0,5.773159728050814e-15,1.1368683772161603e-13,2.3788231423097916
power,30,0.0,0.9,5.773159728050814e-15,1.1368683772161603e-13,2.3788231423097916
power,30,0.001,0.0,1.3322676295501878e-14,1.4210854715202004e-13,2.3788232933851976
power,30,0.001,0.9,8.43769498715119e-15,1.4210854715202004e-13,2.3788222434084836
power,30,0.01,0.0,1.482147737874584e-14,1.7053025658242404e-13,2.378838247883713
power,30,0.01,0.9,1.199040866595169e-14,3.979039320256561e-13,2.3787331969726626
power,300,0.0,0.0,8.43769498715119e-15,5.684341886080802e-14,2.3788231423095563
power,300,0.0,0.9,8.43769498715119e-15,5.684341886080802e-14,2.3788231423095563
power,300,0.001,0.0,2.2315482794965646e-14,1.7053025658242404e-13,2.3788246530458608
power,300,0.001,0.9,1.2101430968414206e-14,1.7053025658242404e-13,2.378814152792364
power,300,0.01,0.0,3.2085445411667024e-14,2.0605739337042905e-13,2.378974019935505
power,300,0.01,0.9,1.687538997430238e-14,3.410605131648481e-13,2.377918741650068
power,3000,0.0,0.0,2.225997164373439e-14,2.8421709430404007e-13,2.3788231423092623
power,3000,0.0,0.9,2.225997164373439e-14,2.8421709430404007e-13,2.3788231423092623
power,3000,0.001,0.0,1.5432100042289676e-14,2.5579538487363607e-13,2.3788382478839023
power,3000,0.001,0.9,1.071365218763276e-14,1.1368683772161603e-13,2.3787331969728522
power,3000,0.01,0.0,7.216449660063518e-15,2.5579538487363607e-13,2.380314337703301
power,3000,0.01,0.9,3.1086244689504383e-15,1.7053025658242404e-13,2.3693498285220795
power,30000,0.0,0.0,3.11972669919669e-14,1.4210854715202004e-13,2.3788231423091823
power,30000,0.0,0.9,3.11972669919669e-14,1.4210854715202004e-13,2.3788231423091823
power,30000,0.001,0.0,8.326672684688674e-15,2.2737367544323206e-13,2.3789740199361815
power,30000,0.001,0.9,1.3711254354120683e-14,2.2737367544323206e-13,2.377918741649559
power,30000,0.01,0.0,5.773159728050814e-15,1.9895196601282805e-13,2.392180729543461
power,30000,0.01,0.9,1.6264767310758543e-14,1.1368683772161603e-13,2.275459168424721
coherent,30,0.0,0.0,9.842127113302013e-14,1.1368683772161603e-13,1.614853205027336
coherent,30,0.0,0.9,9.842127113302013e-14,1.1368683772161603e-13,1.614853205027336
coherent,30,0.001,0.0,8.415490526658687e-14,3.410605131648481e-13,1.6148693424543283
coherent,30,0.001,0.9,4.007905118896815e-14,1.9895196601282805e-13,1.6149125528221395
coherent,30,0.01,0.0,1.120215031846783e-13,1.7053025658242404e-13,1.616462312048065
coherent,30,0.01,0.9,1.6087131626818518e-13,2.2737367544323206e-13,1.6205471408489425
coherent,300,0.0,0.0,1.0169642905566434e-13,8.526512829121202e-14,1.6148532050272617
coherent,300,0.0,0.9,1.0169642905566434e-13,8.526512829121202e-14,1.6148532050272617
coherent,300,0.001,0.0,6.0285110237146e-14,1.1368683772161603e-13,1.615014537024644
coherent,300,0.001,0.9,1.0874634526203408e-13,2.5579538487363607e-13,1.6154444636021865
coherent,300,0.01,0.0,8.848477506262498e-14,8.526512829121202e-14,1.6305368995582288
coherent,300,0.01,0.9,1.4876988529977098e-14,1.1368683772161603e-13,1.655224047394384
coherent,3000,0.0,0.0,1.0008660566995786e-13,2.8421709430404007e-13,1.6148532050274695
coherent,3000,0.0,0.9,1.0008660566995786e-13,2.8421709430404007e-13,1.6148532050274695
coherent,3000,0.001,0.0,9.547918011776346e-14,1.7053025658242404e-13,1.616462312047955
coherent,3000,0.001,0.9,1.4244161405940758e-13,1.1368683772161603e-13,1.620547140848774
coherent,3000,0.01,0.0,1.6986412276764895e-14,8.526512829121202e-14,1.7414249690087662
coherent,3000,0.01,0.9,1.4710455076283324e-14,5.684341886080802e-14,1.7081634734496483
coherent,30000,0.0,0.0,8.565370634983083e-14,1.1368683772161603e-13,1.6148532050276263
coherent,30000,0.0,0.9,8.565370634983083e-14,1.1368683772161603e-13,1.6148532050276263
coherent,30000,0.001,0.0,1.1785017406396037e-13,1.4210854715202004e-13,1.630536899558365
coherent,30000,0.001,0.9,3.2751579226442118e-15,2.1316282072803006e-13,1.6552240473944846
coherent,30000,0.01,0.0,1.7486012637846216e-14,2.5579538487363607e-13,2.1145396160645067
coherent,30000,0.01,0.9,5.551115123125783e-15,2.842170943040401e-14,1.6776813108672477
