pilots,sigma,quantile,scenario,gas,bias_ratio,sd_ratio,rmse_ratio
30,0.0,0.5,matched,CO,6.8099570894155184e-15,3.143949100303361,3.143949100303361
30,0.0,0.5,matched,O3,-2.6744246849854006e-14,39.517802232683216,39.517802232683216
30,0.0,0.5,matched,SO2,1.4252446865301606e-14,18.403913514346574,18.403913514346574
30,0.0,0.5,matched,NO2,-2.774791163881605e-13,383.67652082756615,383.67652082756615
30,0.0,0.5,temperature_plus_5K,CO,-0.4076092918806262,3.143949100303361,3.1702620207367307
30,0.0,0.5,temperature_plus_5K,O3,1.7242950618677457,39.517802232683216,39.555402750595825
30,0.0,0.5,temperature_plus_5K,SO2,-2.9344256867595693,18.403913514346574,18.63638609695192
30,0.0,0.5,temperature_plus_5K,NO2,-5.4749457951180425,383.67652082756615,383.71558173444726
30,0.0,0.5,pressure_minus_2000Pa,CO,-0.02491461966256192,3.143949100303361,3.1440478182704603
30,0.0,0.5,pressure_minus_2000Pa,O3,-0.8355356027430076,39.517802232683216,39.52663422358288
30,0.0,0.5,pressure_minus_2000Pa,SO2,-1.005375729753026,18.403913514346574,18.431354074009995
30,0.0,0.5,pressure_minus_2000Pa,NO2,-2.7176268880548378,383.67652082756615,383.68614534570895
30,0.0,0.5,height_1200m,CO,-0.05186353733104655,3.143949100303361,3.1443768495208713
30,0.0,0.5,height_1200m,O3,-0.11614483903514457,39.517802232683216,39.5179729101215
30,0.0,0.5,height_1200m,SO2,-0.04840453165435524,18.403913514346574,18.403977169140184
30,0.0,0.5,height_1200m,NO2,-0.3311146886311549,383.67652082756615,383.6766637043265
30,0.0,0.5,combined,CO,-0.4732310461362996,3.143949100303361,3.179365277586954
30,0.0,0.5,combined,O3,0.7776508136997515,39.517802232683216,39.52545299031385
30,0.0,0.5,combined,SO2,-3.874327817864753,18.403913514346574,18.80729775070914
30,0.0,0.5,combined,NO2,-8.378758217101002,383.67652082756615,383.76799791489447
30,0.0,0.95,matched,CO,2.5656218843991934e-15,3.143949100303361,3.143949100303361
30,0.0,0.95,matched,O3,3.4464129642680625e-14,39.517802232683216,39.517802232683216
30,0.0,0.95,matched,SO2,-2.0361910905822268e-14,18.403913514346574,18.403913514346574
30,0.0,0.95,matched,NO2,2.363033692398846e-14,383.67652082756615,383.67652082756615
30,0.0,0.95,temperature_plus_5K,CO,-0.4236626713432602,3.143949100303361,3.1723659947093146
30,0.0,0.95,temperature_plus_5K,O3,1.6697500503738851,39.517802232683216,39.55306256830419
30,0.0,0.95,temperature_plus_5K,SO2,-2.9788033170567765,18.403913514346574,18.64342516398896
30,0.0,0.95,temperature_plus_5K,NO2,-5.679028073846354,383.67652082756615,383.718547889217
30,0.0,0.95,pressure_minus_2000Pa,CO,-0.017876073077726873,3.143949100303361,3.1439999203700677
30,0.0,0.95,pressure_minus_2000Pa,O3,-0.8230308277638129,39.517802232683216,39.52637186796825
30,0.0,0.95,pressure_minus_2000Pa,SO2,-0.9908686265451037,18.403913514346574,18.43056844697471
30,0.0,0.95,pressure_minus_2000Pa,NO2,-2.8561713634107466,383.67652082756615,383.6871516603116
30,0.0,0.95,height_1200m,CO,-0.18434854574125717,3.143949100303361,3.149349191756168
30,0.0,0.95,height_1200m,O3,-0.43211663510739645,39.517802232683216,39.520164702184616
30,0.0,0.95,height_1200m,SO2,-0.38919628614235824,18.403913514346574,18.408028313556436
30,0.0,0.95,height_1200m,NO2,-0.7603726563328967,383.67652082756615,383.6772742825959
30,0.0,0.95,combined,CO,-0.6123384112713979,3.143949100303361,3.2030257999611385
30,0.0,0.95,combined,O3,0.42962295192311006,39.517802232683216,39.52013751471877
30,0.0,0.95,combined,SO2,-4.237628216079443,18.403913514346574,18.88548451963203
30,0.0,0.95,combined,NO2,-9.080971744228805,383.67652082756615,383.7839713721318
30,0.001,0.5,matched,CO,6.809964667507949e-15,3.1440257822805484,3.1440257822805484
30,0.001,0.5,matched,O3,-2.674425586089974e-14,39.51911238233366,39.51911238233366
30,0.001,0.5,matched,SO2,1.4252159390408554e-14,18.404456009455913,18.404456009455913
30,0.001,0.5,matched,NO2,-2.77491475185804e-13,383.6898817178676,383.6898817178676
30,0.001,0.5,temperature_plus_5K,CO,-0.4076123814984378,3.1440257822805484,3.170338463507586
30,0.001,0.5,temperature_plus_5K,O3,1.7243793026087109,39.51911238233366,39.55671532706909
30,0.001,0.5,temperature_plus_5K,SO2,-2.934491177953051,18.404456009455913,18.636932136955433
30,0.001,0.5,temperature_plus_5K,NO2,-5.475724999741665,383.6898817178676,383.7289523829861
30,0.001,0.5,pressure_minus_2000Pa,CO,-0.024913815426533203,3.1440257822805484,3.1441244914672066
30,0.001,0.5,pressure_minus_2000Pa,O3,-0.8355548310428174,39.51911238233366,39.52794448694742
30,0.001,0.5,pressure_minus_2000Pa,SO2,-1.0054157225498477,18.404456009455913,18.431897942945223
30,0.001,0.5,pressure_minus_2000Pa,NO2,-2.717674685384244,383.6898817178676,383.6995062394097
30,0.001,0.5,height_1200m,CO,-0.05186354623414055,3.1440257822805484,3.14445352121363
30,0.001,0.5,height_1200m,O3,-0.11614501779665462,39.51911238233366,39.51928305463899
30,0.001,0.5,height_1200m,SO2,-0.04840450236057224,18.404456009455913,18.40451966229618
30,0.001,0.5,height_1200m,NO2,-0.3311139314016982,383.6898817178676,383.6900245889992
30,0.001,0.5,combined,CO,-0.47323338314884356,3.1440257822805484,3.1794414532384954
30,0.001,0.5,combined,O3,0.7777145880153469,39.51911238233366,39.52676414112253
30,0.001,0.5,combined,SO2,-3.8744298152296732,18.404456009455913,18.807849621823824
30,0.001,0.5,combined,NO2,-8.379575122764734,383.6898817178676,383.7813734561766
30,0.001,0.95,matched,CO,2.5656854042032072e-15,3.1440257822805484,3.1440257822805484
30,0.001,0.95,matched,O3,3.446423670348877e-14,39.51911238233366,39.51911238233366
30,0.001,0.95,matched,SO2,-2.0361847936971238e-14,18.404456009455913,18.404456009455913
30,0.001,0.95,matched,NO2,2.3631433833277002e-14,383.6898817178676,383.6898817178676
30,0.001,0.95,temperature_plus_5K,CO,-0.4236657481911674,3.1440257822805484,3.1724424007119807
30,0.001,0.95,temperature_plus_5K,O3,1.6698344054369847,39.51911238233366,39.55437511109357
30,0.001,0.95,temperature_plus_5K,SO2,-2.978868965740423,18.404456009455913,18.64397117888379
30,0.001,0.95,temperature_plus_5K,NO2,-5.679807854107242,383.6898817178676,383.731918857333
