case_id,split,target,rmse_ug_m3,normalized_rmse,r2,bias_ug_m3
training_prior_control,validation,CO,1343.359237264699,0.44778641242156636,-0.010194003472070445,-134.94666666666197
training_prior_control,validation,O3,49.98026290708433,0.27016358328153695,-0.11424614077875539,16.004007133331054
training_prior_control,validation,SO2,15.962105822446182,0.2382403854096445,-0.1305695190161007,5.424534200000189
training_prior_control,validation,NO2,36.07810724144191,0.33717857234992443,-2.690768407198618e-06,-0.05918086666695497
training_prior_control,validation,PM2.5,92.60106874502529,0.4227394144945245,-0.0013822004180681358,-3.440341666666458
training_prior_control,validation,PM10,99.65625197173638,0.37748580292324385,-0.004255238615838541,6.487008333333573
training_prior_control,validation,macro,,0.34893236181340676,-0.043441632178206735,
training_prior_control,test,CO,1349.053087111262,0.44968436237042064,-0.015699488106189374,-167.72166666665717
training_prior_control,test,O3,57.32584765836353,0.30986944680196504,-0.035382354826414275,10.597257133333716
training_prior_control,test,SO2,15.784931727874834,0.23559599593843036,-0.43542419579497116,8.693784199999179
training_prior_control,test,NO2,36.013003822921355,0.3365701291861809,-4.3702518669475054e-05,0.2380691333336224
training_prior_control,test,PM2.5,85.87251108149653,0.39202241991096465,-0.003274785728855978,-4.906091666666413
training_prior_control,test,PM10,95.33853559266711,0.3611308166388906,-0.009115002006937933,9.06100833333436
training_prior_control,test,macro,,0.3474788618078087,-0.08315658816367304,
context_prior_control,validation,CO,993.0721636481995,0.33102405454939987,0.44794535125108514,39.057844479000906
context_prior_control,validation,O3,32.74889956588366,0.1770210787345063,0.521615071590941,-2.515541599806035
context_prior_control,validation,SO2,18.156549466456323,0.2709932756187511,-0.4627952297683229,11.135382576819868
context_prior_control,validation,NO2,26.41301068768601,0.2468505671746356,0.4640188793033868,4.929051143727024
context_prior_control,validation,PM2.5,71.66278709003407,0.3271526459257444,0.40027071150636817,3.696187199981298
context_prior_control,validation,PM10,82.10552358906196,0.3110057711706892,0.3183212487405245,14.45753421773508
context_prior_control,validation,macro,,0.27734123219562107,0.2815626721039971,
context_prior_control,test,CO,1022.4410536570741,0.34081368455235805,0.41657677739958743,45.40701799496266
context_prior_control,test,O3,37.59965647690669,0.20324138636165778,0.5545822260624478,0.8151922848241918
