case_id,selection_rank,frequency_index,frequency_ghz,power_fraction,snr_db,noise_variance_db2
training_prior__pilot_power_residual__uniform__k16,1,0,60.0,0.0625,-74.60226474698476,523480305725953.94
training_prior__pilot_power_residual__uniform__k16,2,17,82.66666666666666,0.0625,22.364427437474546,1.0329219755703183
training_prior__pilot_power_residual__uniform__k16,3,34,105.33333333333333,0.0625,24.615517241229654,1.0299575199185
training_prior__pilot_power_residual__uniform__k16,4,51,128.0,0.0625,26.087197347725137,1.0287051586054727
training_prior__pilot_power_residual__uniform__k16,5,68,150.66666666666666,0.0625,27.530745132674113,1.0278278718630038
training_prior__pilot_power_residual__uniform__k16,6,85,173.33333333333331,0.0625,24.583327265298763,1.029989952083236
training_prior__pilot_power_residual__uniform__k16,7,102,196.0,0.0625,27.3807053392879,1.0279060577217862
training_prior__pilot_power_residual__uniform__k16,8,119,218.66666666666666,0.0625,30.754318789429675,1.026663029108349
training_prior__pilot_power_residual__uniform__k16,9,136,241.33333333333331,0.0625,31.759082460606678,1.0264445639003594
training_prior__pilot_power_residual__uniform__k16,10,153,264.0,0.0625,32.43313038494475,1.0263239276734284
training_prior__pilot_power_residual__uniform__k16,11,170,286.66666666666663,0.0625,32.76005282891124,1.0262718297855007
training_prior__pilot_power_residual__uniform__k16,12,187,309.3333333333333,0.0625,31.229688402363095,1.0265533593516825
training_prior__pilot_power_residual__uniform__k16,13,204,332.0,0.0625,22.99352956666185,1.0319328773327467
training_prior__pilot_power_residual__uniform__k16,14,221,354.66666666666663,0.0625,27.483574553308756,1.0278521614855265
training_prior__pilot_power_residual__uniform__k16,15,238,377.3333333333333,0.0625,-150.0,6.2870565670538066e+29
training_prior__pilot_power_residual__uniform__k16,16,255,400.0,0.0625,24.40267103035525,1.030176512035263
training_prior__pilot_power_residual__physics_d_optimal__k16,1,214,345.3333333333333,0.0625,30.020435297333805,1.0268577881092351
training_prior__pilot_power_residual__physics_d_optimal__k16,2,224,358.66666666666663,0.0625,24.697229189887082,1.02987626836555
training_prior__pilot_power_residual__physics_d_optimal__k16,3,252,396.0,0.0625,17.591950268550136,1.047688071520366
training_prior__pilot_power_residual__physics_d_optimal__k16,4,210,340.0,0.0625,29.808509902392558,1.0269204371924365
training_prior__pilot_power_residual__physics_d_optimal__k16,5,228,364.0,0.0625,16.868129712354275,1.0517337558964432
training_prior__pilot_power_residual__physics_d_optimal__k16,6,134,238.66666666666666,0.0625,31.662204515213347,1.0264634941110362
training_prior__pilot_power_residual__physics_d_optimal__k16,7,255,400.0,0.0625,24.40267103035525,1.030176512035263
training_prior__pilot_power_residual__physics_d_optimal__k16,8,223,357.3333333333333,0.0625,25.808941266758026,1.028910515010132
training_prior__pilot_power_residual__physics_d_optimal__k16,9,216,348.0,0.0625,29.67920560659222,1.026960192650065
training_prior__pilot_power_residual__physics_d_optimal__k16,10,121,221.33333333333331,0.0625,30.902837241545768,1.0266274663373967
training_prior__pilot_power_residual__physics_d_optimal__k16,11,215,346.66666666666663,0.0625,29.883215160312503,1.0268980028630696
training_prior__pilot_power_residual__physics_d_optimal__k16,12,133,237.33333333333331,0.0625,31.61210193599429,1.0264734513292129
training_prior__pilot_power_residual__physics_d_optimal__k16,13,251,394.66666666666663,0.0625,14.045885582421135,1.0761135886782556
training_prior__pilot_power_residual__physics_d_optimal__k16,14,209,338.66666666666663,0.0625,29.490413329330238,1.0270204081420133
training_prior__pilot_power_residual__physics_d_optimal__k16,15,229,365.3333333333333,0.0625,13.310120121289287,1.085651374896732
training_prior__pilot_power_residual__physics_d_optimal__k16,16,164,278.66666666666663,0.0625,32.706274346485245,1.0262801324867148
training_prior__pilot_power_residual__prior_d_optimal__k16,1,214,345.3333333333333,0.0625,30.020435297333805,1.0268577881092351
training_prior__pilot_power_residual__prior_d_optimal__k16,2,224,358.66666666666663,0.0625,24.697229189887082,1.02987626836555
training_prior__pilot_power_residual__prior_d_optimal__k16,3,209,338.66666666666663,0.0625,29.490413329330238,1.0270204081420133
training_prior__pilot_power_residual__prior_d_optimal__k16,4,252,396.0,0.0625,17.591950268550136,1.047688071520366
training_prior__pilot_power_residual__prior_d_optimal__k16,5,228,364.0,0.0625,16.868129712354275,1.0517337558964432
training_prior__pilot_power_residual__prior_d_optimal__k16,6,223,357.3333333333333,0.0625,25.808941266758026,1.028910515010132
training_prior__pilot_power_residual__prior_d_optimal__k16,7,255,400.0,0.0625,24.40267103035525,1.030176512035263
training_prior__pilot_power_residual__prior_d_optimal__k16,8,215,346.66666666666663,0.0625,29.883215160312503,1.0268980028630696
training_prior__pilot_power_residual__prior_d_optimal__k16,9,251,394.66666666666663,0.0625,14.045885582421135,1.0761135886782556
training_prior__pilot_power_residual__prior_d_optimal__k16,10,229,365.3333333333333,0.0625,13.310120121289287,1.085651374896732
training_prior__pilot_power_residual__prior_d_optimal__k16,11,210,340.0,0.0625,29.808509902392558,1.0269204371924365
training_prior__pilot_power_residual__prior_d_optimal__k16,12,134,238.66666666666666,0.0625,31.662204515213347,1.0264634941110362
training_prior__pilot_power_residual__prior_d_optimal__k16,13,216,348.0,0.0625,29.67920560659222,1.026960192650065
training_prior__pilot_power_residual__prior_d_optimal__k16,14,222,356.0,0.0625,26.725100422197727,1.0282813027026045
training_prior__pilot_power_residual__prior_d_optimal__k16,15,182,302.66666666666663,0.0625,32.28176264029308,1.026349410996442
training_prior__pilot_power_residual__prior_d_optimal__k16,16,211,341.3333333333333,0.0625,29.99734505273362,1.0268644664145743
training_prior__pilot_power_residual__bayesian_a_optimal__k16,1,214,345.3333333333333,0.0625,30.020435297333805,1.0268577881092351
training_prior__pilot_power_residual__bayesian_a_optimal__k16,2,215,346.66666666666663,0.0625,29.883215160312503,1.0268980028630696
training_prior__pilot_power_residual__bayesian_a_optimal__k16,3,213,344.0,0.0625,30.089496311553148,1.0268380246649316
training_prior__pilot_power_residual__bayesian_a_optimal__k16,4,216,348.0,0.0625,29.67920560659222,1.026960192650065
training_prior__pilot_power_residual__bayesian_a_optimal__k16,5,223,357.3333333333333,0.0625,25.808941266758026,1.028910515010132
training_prior__pilot_power_residual__bayesian_a_optimal__k16,6,224,358.66666666666663,0.0625,24.697229189887082,1.02987626836555
training_prior__pilot_power_residual__bayesian_a_optimal__k16,7,212,342.66666666666663,0.0625,30.085205080543204,1.0268392435572302
training_prior__pilot_power_residual__bayesian_a_optimal__k16,8,217,349.3333333333333,0.0625,29.406563669401066,1.0270480040759753
training_prior__pilot_power_residual__bayesian_a_optimal__k16,9,222,356.0,0.0625,26.725100422197727,1.0282813027026045
training_prior__pilot_power_residual__bayesian_a_optimal__k16,10,225,360.0,0.0625,23.338248158569144,1.0314489562593814
training_prior__pilot_power_residual__bayesian_a_optimal__k16,11,221,354.66666666666663,0.0625,27.483574553308756,1.0278521614855265
training_prior__pilot_power_residual__bayesian_a_optimal__k16,12,218,350.66666666666663,0.0625,29.060445835920078,1.0271677331734477
training_prior__pilot_power_residual__bayesian_a_optimal__k16,13,211,341.3333333333333,0.0625,29.99734505273362,1.0268644664145743
training_prior__pilot_power_residual__bayesian_a_optimal__k16,14,128,230.66666666666666,0.0625,31.34347013861,1.0265288437275881
training_prior__pilot_power_residual__bayesian_a_optimal__k16,15,226,361.3333333333333,0.0625,21.65972255235569,1.0342152841781709
training_prior__pilot_power_residual__bayesian_a_optimal__k16,16,219,352.0,0.0625,28.632906815982963,1.0273294455430326
training_prior__pilot_power_residual__target_balanced__k16,1,214,345.3333333333333,0.0625,30.020435297333805,1.0268577881092351
training_prior__pilot_power_residual__target_balanced__k16,2,224,358.66666666666663,0.0625,24.697229189887082,1.02987626836555
training_prior__pilot_power_residual__target_balanced__k16,3,223,357.3333333333333,0.0625,25.808941266758026,1.028910515010132
training_prior__pilot_power_residual__target_balanced__k16,4,252,396.0,0.0625,17.591950268550136,1.047688071520366
training_prior__pilot_power_residual__target_balanced__k16,5,255,400.0,0.0625,24.40267103035525,1.030176512035263
training_prior__pilot_power_residual__target_balanced__k16,6,254,398.66666666666663,0.0625,22.596793978327383,1.0325397634178537
training_prior__pilot_power_residual__target_balanced__k16,7,215,346.66666666666663,0.0625,29.883215160312503,1.0268980028630696
training_prior__pilot_power_residual__target_balanced__k16,8,225,360.0,0.0625,23.338248158569144,1.0314489562593814
training_prior__pilot_power_residual__target_balanced__k16,9,222,356.0,0.0625,26.725100422197727,1.0282813027026045
training_prior__pilot_power_residual__target_balanced__k16,10,251,394.66666666666663,0.0625,14.045885582421135,1.0761135886782556
training_prior__pilot_power_residual__target_balanced__k16,11,253,397.3333333333333,0.0625,20.373566886786563,1.0371963286739314
training_prior__pilot_power_residual__target_balanced__k16,12,250,393.3333333333333,0.0625,9.424019227492167,1.1773763225250502
training_prior__pilot_power_residual__target_balanced__k16,13,213,344.0,0.0625,30.089496311553148,1.0268380246649316
training_prior__pilot_power_residual__target_balanced__k16,14,228,364.0,0.0625,16.868129712354275,1.0517337558964432
training_prior__pilot_power_residual__target_balanced__k16,15,226,361.3333333333333,0.0625,21.65972255235569,1.0342152841781709
training_prior__pilot_power_residual__target_balanced__k16,16,217,349.3333333333333,0.0625,29.406563669401066,1.0270480040759753
training_prior__pilot_power_residual__uniform__k32,1,0,60.0,0.03125,-77.61256470362457,2093921150337705.0
training_prior__pilot_power_residual__uniform__k32,2,8,70.66666666666667,0.03125,15.90586209156713,1.0582967693404393
training_prior__pilot_power_residual__uniform__k32,3,16,81.33333333333333,0.03125,19.154326794217553,1.0409756963384282
training_prior__pilot_power_residual__uniform__k32,4,25,93.33333333333333,0.03125,20.61237934518718,1.036573499988045
training_prior__pilot_power_residual__uniform__k32,5,33,104.0,0.03125,21.520629447568638,1.0344964749048573
training_prior__pilot_power_residual__uniform__k32,6,41,114.66666666666666,0.03125,20.826143343004418,1.036044554388134
training_prior__pilot_power_residual__uniform__k32,7,49,125.33333333333333,0.03125,22.57389858167511,1.0325765166232332
training_prior__pilot_power_residual__uniform__k32,8,58,137.33333333333331,0.03125,23.88477832402606,1.0307565949854869
training_prior__pilot_power_residual__uniform__k32,9,66,148.0,0.03125,24.426458762036788,1.030151499434306
training_prior__pilot_power_residual__uniform__k32,10,74,158.66666666666666,0.03125,24.636171002658685,1.0299368374410094
training_prior__pilot_power_residual__uniform__k32,11,82,169.33333333333331,0.03125,23.57203948232626,1.0311420428537479
training_prior__pilot_power_residual__uniform__k32,12,90,180.0,0.03125,-1.9621479194329936,4.553121677762613
training_prior__pilot_power_residual__uniform__k32,13,99,192.0,0.03125,21.24246806109356,1.03508675617241
training_prior__pilot_power_residual__uniform__k32,14,107,202.66666666666666,0.03125,26.246696557250687,1.0285932586359918
training_prior__pilot_power_residual__uniform__k32,15,115,213.33333333333331,0.03125,27.397599765210913,1.0278971182254253
training_prior__pilot_power_residual__uniform__k32,16,123,224.0,0.03125,28.02944832838797,1.0275866099521327
training_prior__pilot_power_residual__uniform__k32,17,132,236.0,0.03125,28.550411406071944,1.0273625254068541
training_prior__pilot_power_residual__uniform__k32,18,140,246.66666666666666,0.03125,28.93062924936558,1.0272151609401101
training_prior__pilot_power_residual__uniform__k32,19,148,257.3333333333333,0.03125,29.25180007640857,1.0271003608967504
training_prior__pilot_power_residual__uniform__k32,20,156,268.0,0.03125,29.51333334485564,1.0270129572557323
training_prior__pilot_power_residual__uniform__k32,21,165,280.0,0.03125,29.711138860528976,1.026950264105083
training_prior__pilot_power_residual__uniform__k32,22,173,290.66666666666663,0.03125,29.73207196674757,1.026943795220409
training_prior__pilot_power_residual__uniform__k32,23,181,301.3333333333333,0.03125,29.376077221185042,1.0270581704967365
training_prior__pilot_power_residual__uniform__k32,24,189,312.0,0.03125,27.27074624334918,1.027965100457612
training_prior__pilot_power_residual__uniform__k32,25,197,322.66666666666663,0.03125,-14.061077275035842,441.060180781186
training_prior__pilot_power_residual__uniform__k32,26,206,334.66666666666663,0.03125,24.193722705632382,1.03040222985428
