split,lag_hours,missing_rate,exact_match_coverage
train,1,0.04775,0.95225
train,2,0.05925,0.94075
train,3,0.06825,0.93175
train,6,0.08258333333333333,0.9174166666666667
train,24,0.09841666666666667,0.9015833333333333
train,168,0.13508333333333333,0.8649166666666667
validation,1,0.01975,0.98025
validation,2,0.02425,0.97575
validation,3,0.032,0.968
validation,6,0.03475,0.9652499999999999
validation,24,0.039,0.961
validation,168,0.046,0.954
test,1,0.02375,0.97625
test,2,0.027,0.973
test,3,0.0315,0.9685
test,6,0.03375,0.96625
test,24,0.04875,0.95125
test,168,0.0545,0.9455
