model,split,inference_class,uses_current_weather,uses_true_pollutant_lags,uses_simulated_thz,target,mae_ug_m3,rmse_ug_m3,normalized_rmse,r2,bias_ug_m3
training period mean,validation,constant baseline,False,False,False,CO,900.5250633333334,1343.3592372647179,0.44778641242157263,-0.010194003472098867,-134.94666666666674
training period mean,validation,constant baseline,False,False,False,O3,40.31675221049999,49.980262907084466,0.27016358328153767,-0.11424614077875384,16.004007133333307
training period mean,validation,constant baseline,False,False,False,SO2,13.004585042899999,15.96210582244616,0.23824038540964418,-0.13056951901607783,5.4245342
training period mean,validation,constant baseline,False,False,False,NO2,28.550557551233336,36.078107241441856,0.3371785723499239,-2.690768407420663e-06,-0.05918086666665113
training period mean,validation,constant baseline,False,False,False,PM2.5,65.67503740000001,92.6010687450253,0.42273941449452457,-0.0013822004180683578,-3.4403416666666606
training period mean,validation,constant baseline,False,False,False,PM10,74.85180343333333,99.65625197173651,0.37748580292324435,-0.004255238615841206,6.4870083333333435
training period mean,test,constant baseline,False,False,False,CO,842.5362599999999,1349.053087111269,0.449684362370423,-0.015699488106238002,-167.72166666666675
training period mean,test,constant baseline,False,False,False,O3,45.29963475363333,57.325847658364225,0.30986944680196876,-0.035382354826434925,10.597257133333308
training period mean,test,constant baseline,False,False,False,SO2,13.485054762499997,15.784931727874836,0.2355959959384304,-0.4354241957949747,8.693784199999998
training period mean,test,constant baseline,False,False,False,NO2,28.7694377635,36.01300382292133,0.3365701291861806,-4.370251866747665e-05,0.2380691333333507
training period mean,test,constant baseline,False,False,False,PM2.5,60.79125100833333,85.87251108149648,0.3920224199109645,-0.0032747857288548676,-4.906091666666665
training period mean,test,constant baseline,False,False,False,PM10,70.66405362916667,95.33853559266703,0.36113081663889024,-0.009115002006937045,9.061008333333339
seasonal month hour climatology,validation,training only seasonal prior,False,False,False,CO,903.9300435803781,1287.0950125997124,0.4290316708665708,0.07265428587765266,54.969806113478974
seasonal month hour climatology,validation,training only seasonal prior,False,False,False,O3,24.815831034861862,32.503407760799256,0.1756940960043203,0.5287603135228567,-2.4658435512168904
seasonal month hour climatology,validation,training only seasonal prior,False,False,False,SO2,15.731169127822499,20.020406738595334,0.2988120408745572,-0.7785361375479687,11.687687050125344
seasonal month hour climatology,validation,training only seasonal prior,False,False,False,NO2,28.615473456661732,35.98965406269624,0.3363519071280022,0.00489473829837439,6.556728363190806
seasonal month hour climatology,validation,training only seasonal prior,False,False,False,PM2.5,71.12334537548959,96.73132852457603,0.4415947433215081,-0.09270309799000942,4.4417999610801155
seasonal month hour climatology,validation,training only seasonal prior,False,False,False,PM10,79.9279171500991,103.53858473745979,0.39219160885401433,-0.08402539293042888,16.807345384464348
seasonal month hour climatology,test,training only seasonal prior,False,False,False,CO,817.8867270326523,1255.6174106333083,0.41853913687776945,0.12012331168562107,-20.933757446389347
seasonal month hour climatology,test,training only seasonal prior,False,False,False,O3,27.55666335891276,36.574056906418356,0.19769760489955868,0.5785499967564156,-0.26383314470976077
seasonal month hour climatology,test,training only seasonal prior,False,False,False,SO2,12.067562168864347,17.178384737693857,0.2563938020551322,-0.7000413988477245,9.671677735287261
seasonal month hour climatology,test,training only seasonal prior,False,False,False,NO2,25.71646959360994,33.60154493505005,0.3140331302341126,0.12939977138119663,1.985475888166428
seasonal month hour climatology,test,training only seasonal prior,False,False,False,PM2.5,61.42386597942598,86.40807487751376,0.3944673584912762,-0.015828120873567997,-2.4365188792455648
seasonal month hour climatology,test,training only seasonal prior,False,False,False,PM10,67.8189891962744,94.47372219927828,0.3578550083305996,0.009109277642457836,5.40888208389686
calendar Ridge,validation,calendar and station prior,False,False,False,CO,894.2380846795692,1287.2089397978882,0.4290696465992961,0.07249011062451938,-18.851993425892548
calendar Ridge,validation,calendar and station prior,False,False,False,O3,28.998573206287247,37.523425860085126,0.20282932897343312,0.3719575045385516,5.757769050701517
calendar Ridge,validation,calendar and station prior,False,False,False,SO2,14.337016991270236,16.918124970867368,0.25250932792339353,-0.2700515778851895,9.270314001213043
calendar Ridge,validation,calendar and station prior,False,False,False,NO2,28.165839211824085,35.28533349263306,0.3297694718937669,0.04346221277588591,3.574092696045951
calendar Ridge,validation,calendar and station prior,False,False,False,PM2.5,66.99446612965725,92.33740054237943,0.42153572491385405,0.004312264042434344,0.5915354999251631
calendar Ridge,validation,calendar and station prior,False,False,False,PM10,76.33460342183234,99.83212743958117,0.3781519978772014,-0.007803028367051601,11.410501458488406
calendar Ridge,test,calendar and station prior,False,False,False,CO,804.5883423401048,1277.6366789226379,0.4258788929742126,0.08899261866731345,-107.92218405203894
calendar Ridge,test,calendar and station prior,False,False,False,O3,33.61783029422864,43.83395795725436,0.23694031328245602,0.39462962728111073,4.065258525327642
calendar Ridge,test,calendar and station prior,False,False,False,SO2,11.91335997935395,14.539300567801087,0.21700448608658338,-0.217816562564632,8.953635497318322
calendar Ridge,test,calendar and station prior,False,False,False,NO2,26.410379267146286,33.56414091325632,0.31368355993697494,0.13133693382319045,1.6762622629097315
calendar Ridge,test,calendar and station prior,False,False,False,PM2.5,60.009533694959636,84.17767026267343,0.3842851872297362,0.03593708721683386,-4.214289090429028
calendar Ridge,test,calendar and station prior,False,False,False,PM10,68.39696319179612,92.99134666187443,0.3522399494767971,0.03996120529008618,7.591311587983596
calendar and current weather Ridge,validation,auxiliary context prior,True,False,False,CO,663.328936094048,993.0490564226467,0.3310163521408822,0.4479710418370101,39.05850546221423
calendar and current weather Ridge,validation,auxiliary context prior,True,False,False,O3,25.39835472076272,32.74876479295103,0.17702035023216772,0.5216190090183337,-2.5175545550131075
