candidate,target,status,validation_normalized_rmse,runtime_seconds,training_window_days,information_set,failure_message,feature_build_seconds
hgb15,CO,completed_validation_only,0.114377801145,3.313,,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb15,O3,completed_validation_only,0.054585598455,10.28,,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb15,SO2,completed_validation_only,0.062707649173,67.519,,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb15,NO2,completed_validation_only,0.089364774937,25.003,,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb15,PM2.5,completed_validation_only,0.089725435587,15.796,,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb15,PM10,completed_validation_only,0.103353377103,14.651,,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb31,CO,completed_validation_only,0.114566036526,44.037,,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb31,O3,completed_validation_only,0.053738476668,16.888,,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb31,SO2,completed_validation_only,0.062048699678,18.508,,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb31,NO2,completed_validation_only,0.088218579868,24.35,,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb31,PM2.5,completed_validation_only,0.089758066432,15.41,,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb31,PM10,completed_validation_only,0.102907609289,29.207,,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
extra_leaf2,CO,completed_validation_only,0.111501907237,21.33,,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
extra_leaf2,O3,completed_validation_only,0.053906426346,16.203,,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
extra_leaf2,SO2,completed_validation_only,0.062004283517,30.799,,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
extra_leaf2,NO2,completed_validation_only,0.090296250004,21.526,,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
extra_leaf2,PM2.5,completed_validation_only,0.091144465521,23.445,,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
extra_leaf2,PM10,completed_validation_only,0.102771494916,31.268,,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb15_recent365,CO,completed_validation_only,0.117024315905,27.087,365.0,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb15_recent365,O3,completed_validation_only,0.055349502454,13.541,365.0,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb15_recent365,SO2,completed_validation_only,0.065602140593,17.134,365.0,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb15_recent365,NO2,completed_validation_only,0.09143446745,18.999,365.0,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb15_recent365,PM2.5,completed_validation_only,0.091628420668,20.646,365.0,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb15_recent365,PM10,completed_validation_only,0.106133746855,10.924,365.0,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb15_recent730,CO,completed_validation_only,0.114995649563,27.91,730.0,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb15_recent730,O3,completed_validation_only,0.054766715349,15.631,730.0,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb15_recent730,SO2,completed_validation_only,0.063598806023,15.162,730.0,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb15_recent730,NO2,completed_validation_only,0.090287800769,31.355,730.0,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb15_recent730,PM2.5,completed_validation_only,0.08948881385,20.746,730.0,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
hgb15_recent730,PM10,completed_validation_only,0.103210659597,20.754,730.0,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
extra_leaf1,CO,completed_targeted_validation_only,0.114458486033,72.906,,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
extra_leaf1,NO2,completed_targeted_validation_only,0.090357944213,35.857,,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
extra_leaf1,PM2.5,completed_targeted_validation_only,0.092576087659,41.697,,189 strictly causal features from exact past full-table histories; model trained on deterministic sample training rows,,
