model,split,target,mae_ug_m3,rmse_ug_m3,normalized_rmse,r2,bias_ug_m3
causal one hour base,validation,CO,183.87450615020236,369.64462186553504,0.12321487395517834,0.9235127163294465,-4.273855321123865
causal one hour base,validation,O3,8.216318858941897,13.774685049912568,0.07445775702655442,0.9153655022088724,0.21586045211648516
causal one hour base,validation,SO2,2.3312584787014465,4.733227495717296,0.07064518650324322,0.900589637277578,0.026001936645371995
causal one hour base,validation,NO2,7.241753696414943,11.432362416459071,0.10684450856503805,0.8995879935445921,-0.25778315454265477
causal one hour base,validation,PM2.5,10.648082112967243,21.20849935214551,0.09682035769068971,0.9474723768131837,0.14223514288168493
causal one hour base,validation,PM10,15.974657058303505,29.46540350998941,0.11161137693177807,0.9122070196334732,0.05755881119891421
causal one hour base,test,CO,193.8537532919515,428.83357131608267,0.14294452377202754,0.8973675474645258,-2.9234004925062096
causal one hour base,test,O3,10.096158612716009,16.79344683661528,0.09077538830602855,0.9111454899561793,0.15216039695647515
causal one hour base,test,SO2,1.7916371584851765,5.1025971823198075,0.07615816690029563,0.8500047809376433,-0.0043464549602017484
causal one hour base,test,NO2,7.3914502230535515,12.215829346152649,0.11416662940329579,0.884934216446926,-0.017198568963255344
causal one hour base,test,PM2.5,10.613223356072183,20.708595848391678,0.09453821432728485,0.9416537595862733,-0.22355973216311154
causal one hour base,test,PM10,16.25559050812725,29.09605424359176,0.11021232668027181,0.9060121090391534,-0.38608386162064995
v2 frozen target-specific composite,validation,CO,174.1030225331476,332.51681421458153,0.11083893807152717,0.9381061246220231,17.27648322979652
v2 frozen target-specific composite,validation,O3,6.103595735352551,9.941618183642689,0.05373847666833886,0.9559142508309014,0.095357115617711
v2 frozen target-specific composite,validation,SO2,2.2278265580516727,4.15428699566723,0.06200428351742135,0.9234209643063329,0.37587084255858166
v2 frozen target-specific composite,validation,NO2,6.1337413983995415,9.439388045883712,0.08821857986807208,0.9315456015841121,-0.26392072216614304
v2 frozen target-specific composite,validation,PM2.5,10.159229243262033,19.639055886144344,0.08965558496299662,0.9549588903541657,0.4009122758909864
v2 frozen target-specific composite,validation,PM10,15.093356039368246,27.114691475704905,0.1027071646807004,0.9256562709717023,1.6948148812397672
v2 frozen target-specific composite,test,CO,194.7710095985224,422.76295476121567,0.14092098492040522,0.9002527335992255,16.9654910380792
v2 frozen target-specific composite,test,O3,7.727735693090522,13.06949429310111,0.07064591509784383,0.9461832637887533,0.5226322447729604
v2 frozen target-specific composite,test,SO2,1.785770289279555,4.880962261190937,0.0728501830028498,0.8627520879144353,0.2818741505062027
v2 frozen target-specific composite,test,NO2,6.625258650555238,10.806214826431136,0.10099266192926296,0.9099575135590912,-0.3395343716052731
v2 frozen target-specific composite,test,PM2.5,9.83874915382548,18.649357509840826,0.08513744583355803,0.9526805899704699,-0.2028033378169372
v2 frozen target-specific composite,test,PM10,15.442579403488295,27.023094561844896,0.1023602066736549,0.9189274429692051,1.4620226607496094
