method,tone_count,selection_rank,candidate_index,frequency_ghz,dew_point_sensitivity_db_per_c,reference_background_db,equal_power_snr_db
uniform,16,1,0,60.0,-0.0061287743609170775,93.59014201343746,-73.43855142730285
uniform,16,2,34,82.62230919765166,0.008284160983137001,0.5729815765251602,22.35753057867504
uniform,16,3,68,105.24461839530332,0.011546220411808528,0.426878786981791,24.60568474653131
uniform,16,4,102,127.86692759295498,0.01847948051545245,0.6618718361332158,26.061858342422624
uniform,16,5,136,150.48923679060664,0.04163399131111256,0.6458740671990946,27.492800304596983
uniform,16,6,170,173.1115459882583,0.3403119507509267,4.866076258346395,24.489010018092756
uniform,16,7,204,195.73385518590996,0.23495362565312572,3.357718112891911,27.064166467108535
uniform,16,8,238,218.35616438356163,0.0465671497227631,0.6732888955874663,30.698585821667052
uniform,16,9,273,241.64383561643834,0.03536446787629011,0.5111717176498956,31.7409082743187
uniform,16,10,307,264.26614481409,0.04358047350280514,0.6264435338959239,32.40295262750311
uniform,16,11,341,286.88845401174166,0.07304466407864174,1.0446970222945655,32.698129959575084
uniform,16,12,375,309.5107632093933,0.2406664092673223,3.428995985648841,30.973084716230943
uniform,16,13,409,332.133072407045,0.876203185252237,12.471395564921716,22.543412472737316
uniform,16,14,443,354.75538160469665,0.6062139461911151,8.658988281185756,26.928157144968154
uniform,16,15,477,377.3776908023483,26.812562408458007,381.47200867121416,-345.3479186392273
uniform,16,16,511,400.0,0.9129156909543816,12.993995552116077,23.6357698529049
d_optimal_default,16,1,430,346.10567514677103,0.40421584459465265,5.765180537455518,29.607559451894232
d_optimal_default,16,2,449,358.74755381604695,0.8213159149749885,11.75096799708221,23.93337655014021
d_optimal_default,16,3,504,395.3424657534246,1.5364652817274518,21.866029464067196,14.662005447134902
d_optimal_default,16,4,392,320.82191780821915,1.91242329852129,27.20923845062086,7.504607740158605
d_optimal_default,16,5,356,296.8688845401174,0.10626600561851962,1.5171107639628203,32.52274842753923
d_optimal_default,16,6,267,237.65166340508804,0.035421649914310294,0.5123615976912265,31.59502114910434
d_optimal_default,16,7,14,69.31506849315069,0.006780776305416403,3.7581151220657976,17.647003590782774
d_optimal_default,16,8,458,364.7358121330724,1.5220950165183993,22.060746085581805,13.76738763813583
d_optimal_default,16,9,447,357.41682974559683,0.7361118913237057,10.524361943023441,25.127703602387598
d_optimal_default,16,10,511,400.0,0.9129156909543816,12.993995552116077,23.6357698529049
d_optimal_default,16,11,429,345.44031311154595,0.39834343686028184,5.680949023293882,29.67507692797666
d_optimal_default,16,12,179,179.09980430528375,1.5347222972387868,21.852361239371458,7.798106565374965
d_optimal_default,16,13,505,396.0078277886497,1.4138694025782002,20.12175799529603,16.420882995201993
d_optimal_default,16,14,15,69.98043052837573,0.0068810218234718334,3.1202581174598807,18.367839660785165
d_optimal_default,16,15,420,339.4520547945205,0.4112381278426511,5.860113101986775,29.344021314866723
d_optimal_default,16,16,269,238.98238747553816,0.03534172696651128,0.5110955080607922,31.644787980239144
d_optimal_strict,16,1,430,346.10567514677103,0.40421584459465265,5.765180537455518,29.607559451894232
d_optimal_strict,16,2,449,358.74755381604695,0.8213159149749885,11.75096799708221,23.93337655014021
d_optimal_strict,16,3,504,395.3424657534246,1.5364652817274518,21.866029464067196,14.662005447134902
d_optimal_strict,16,4,392,320.82191780821915,1.91242329852129,27.20923845062086,7.504607740158605
d_optimal_strict,16,5,89,119.21722113502935,0.013018951331673634,23.08757950472777,3.027765964319812
d_optimal_strict,16,6,356,296.8688845401174,0.10626600561851962,1.5171107639628203,32.52274842753923
d_optimal_strict,16,7,267,237.65166340508804,0.035421649914310294,0.5123615976912265,31.59502114910434
d_optimal_strict,16,8,20,73.30724070450097,0.007274931238608229,1.5682207662039165,20.323282270347903
d_optimal_strict,16,9,458,364.7358121330724,1.5220950165183993,22.060746085581805,13.76738763813583
d_optimal_strict,16,10,447,357.41682974559683,0.7361118913237057,10.524361943023441,25.127703602387598
d_optimal_strict,16,11,511,400.0,0.9129156909543816,12.993995552116077,23.6357698529049
d_optimal_strict,16,12,179,179.09980430528375,1.5347222972387868,21.852361239371458,7.798106565374965
d_optimal_strict,16,13,429,345.44031311154595,0.39834343686028184,5.680949023293882,29.67507692797666
d_optimal_strict,16,14,505,396.0078277886497,1.4138694025782002,20.12175799529603,16.420882995201993
d_optimal_strict,16,15,87,117.88649706457926,0.01294944215561955,15.447512400129645,10.570334439490694
d_optimal_strict,16,16,420,339.4520547945205,0.4112381278426511,5.860113101986775,29.344021314866723
uniform,32,1,0,60.0,-0.0061287743609170775,93.59014201343746,-76.44885138394267
uniform,32,2,16,70.64579256360078,0.006965760825477396,2.6454362022068345,15.914555455033963
uniform,32,3,33,81.95694716242662,0.00821073517056159,0.6003947010349158,19.249586378228827
uniform,32,4,49,92.6027397260274,0.009514963401600296,0.3758875837030831,20.534854754542394
uniform,32,5,66,103.91389432485323,0.011295772580065977,0.40175494154716007,21.50998309920986
uniform,32,6,82,114.55968688845401,0.013512624171431398,1.8399386686921047,20.918963312390986
uniform,32,7,99,125.87084148727983,0.017567171481583266,0.8726773035113778,22.704091030424152
uniform,32,8,115,136.5166340508806,0.02372903851613528,0.46604076760275154,23.815936290015102
uniform,32,9,132,147.82778864970646,0.03662906638876917,0.5818772629413673,24.3915099660164
uniform,32,10,148,158.47358121330723,0.06701613745061707,0.992385565542534,24.585017502232986
uniform,32,11,165,169.78473581213308,0.20198855468061527,2.900823868892701,23.27541461707807
uniform,32,12,181,180.43052837573384,2.5334943630524833,36.05857529604045,-9.354109255840228
uniform,32,13,198,191.74168297455967,0.4703343127723585,6.707059824620933,20.525536496912963
uniform,32,14,214,202.38747553816046,0.11089135297954567,1.5912978234182855,26.110640464430375
uniform,32,15,231,213.69863013698628,0.055027864937928994,0.794397830033396,27.379902556468622
uniform,32,16,247,224.34442270058707,0.04026918686554648,0.5828451128148447,28.01372605409857
uniform,32,17,264,235.6555772994129,0.03568305231892799,0.5162810790734045,28.50753899747683
uniform,32,18,280,246.3013698630137,0.03592155053174295,0.5186968532363166,28.888905314120663
uniform,32,19,297,257.6125244618395,0.0396762522426255,0.5712937912107912,29.22631130036359
uniform,32,20,313,268.2583170254403,0.04663303778291872,0.6696629183478168,29.479666615936424
uniform,32,21,330,279.56947162426616,0.059469288779957274,0.8517963060211171,29.656264228876978
uniform,32,22,346,290.2152641878669,0.08156446313702048,1.1658209403884285,29.66684969930688
uniform,32,23,363,301.5264187866927,0.13442180803094494,1.917608614168275,29.247164400568565
uniform,32,24,379,312.17221135029354,0.31985440969682166,4.5554817037609325,26.910668734718314
uniform,32,25,396,323.48336594911933,4.674627395221506,66.5000120322671,-34.724707341710484
uniform,32,26,412,334.12915851272015,0.6310134641301701,8.984257306847095,23.072295853993637
uniform,32,27,429,345.44031311154595,0.39834343686028184,5.680949023293882,26.66477697133685
uniform,32,28,445,356.08610567514677,0.6653267159778267,9.507256714285685,23.10210946800032
uniform,32,29,462,367.39726027397256,2.1840255315582198,33.68949293078491,-0.8085090410605318
uniform,32,30,478,378.0430528375734,35.450567542602016,504.3314067792509,-471.2023159254954
uniform,32,31,495,389.3542074363992,3.9931626688838833,56.81673052787301,-23.431567463507776
uniform,32,32,511,400.0,0.9129156909543816,12.993995552116077,20.625469896265088
d_optimal_default,32,1,430,346.10567514677103,0.40421584459465265,5.765180537455518,26.59725949525442
d_optimal_default,32,2,449,358.74755381604695,0.8213159149749885,11.75096799708221,20.923076593500397
d_optimal_default,32,3,504,395.3424657534246,1.5364652817274518,21.866029464067196,11.65170549049509
d_optimal_default,32,4,392,320.82191780821915,1.91242329852129,27.20923845062086,4.494307783518792
d_optimal_default,32,5,356,296.8688845401174,0.10626600561851962,1.5171107639628203,29.512448470899415
