diagnostic_type,state,method,reference_floor_c,sigma_multiple,dew_point_c,surface_temperature_k,surface_pressure_pa,surface_temperature_c,surface_pressure_hpa,offset_from_reference_c,tone_count,rms_linearization_or_transfer_error_db,peak_linearization_or_transfer_error_db,rms_actual_background_change_db,relative_rms_error,rms_error_to_residual_std_ratio
local_fixed_temperature_pressure,-3_sigma,d_optimal_default,0.2904327402830663,-3.0,3.128701779150801,289.15,100870.0,16.0,1008.7,-0.8712982208491988,256,0.013335922101283133,0.04694026767597492,0.4860548427872118,0.027437072789585227,0.021168130319497037
local_fixed_temperature_pressure,-1_sigma,d_optimal_default,0.2904327402830663,-1.0,3.7095672597169336,289.15,100870.0,16.0,1008.7,-0.2904327402830664,256,0.0015009618773939555,0.005283140660342411,0.16496262641877107,0.009098799588602824,0.002382479170466596
local_fixed_temperature_pressure,+1_sigma,d_optimal_default,0.2904327402830663,1.0,4.290432740283066,289.15,100870.0,16.0,1008.7,0.290432740283066,256,0.0015049898201612414,0.005297318361009218,0.16796857811632612,0.008959948563230472,0.002388872730414669
local_fixed_temperature_pressure,+3_sigma,d_optimal_default,0.2904327402830663,3.0,4.871298220849199,289.15,100870.0,16.0,1008.7,0.8712982208491988,256,0.01372119785486079,0.04829637540250076,0.5131119627433557,0.026741138096840186,0.021779679134699668
local_fixed_temperature_pressure,-3_sigma,d_optimal_strict,0.8476500667363803,-3.0,1.457049799790859,289.15,100870.0,16.0,1008.7,-2.542950200209141,256,0.1058453094047515,0.3878687746217615,1.2941315117595107,0.08178868101344927,0.16800842762658968
local_fixed_temperature_pressure,-1_sigma,d_optimal_strict,0.8476500667363803,-1.0,3.15234993326362,289.15,100870.0,16.0,1008.7,-0.8476500667363802,256,0.012129129638218727,0.04444703951892848,0.45452981074986865,0.026685003604512713,0.019252586727331312
local_fixed_temperature_pressure,+1_sigma,d_optimal_strict,0.8476500667363803,1.0,4.847650066736381,289.15,100870.0,16.0,1008.7,0.8476500667363807,256,0.012468144823617603,0.045689356304393414,0.47912708521170516,0.02602262574679634,0.01979070606923429
local_fixed_temperature_pressure,+3_sigma,d_optimal_strict,0.8476500667363803,3.0,6.542950200209141,289.15,100870.0,16.0,1008.7,2.542950200209141,256,0.1157779281478487,0.42426672822337963,1.515754749312111,0.07638302185785116,0.18377448912356936
paired_real_state_transfer,train_q05,d_optimal_default,,,-19.6,273.25,102300.0,0.10000000000002274,1023.0,-23.6,256,6.639639842277942,23.378644061274287,6.887667754896643,0.9639895649086193,10.539110860758639
paired_real_state_transfer,train_q05,d_optimal_strict,,,-19.6,273.25,102300.0,0.10000000000002274,1023.0,-23.6,256,6.3913323626328085,23.378644061274287,6.619852867976289,0.9654795189710402,10.144972004179062
paired_real_state_transfer,train_q95,d_optimal_default,,,21.9,298.34999999999997,99830.0,25.19999999999999,998.3,17.9,256,5.667514775365404,22.0885245972553,15.919374267952433,0.35601366485709024,8.996055198992703
paired_real_state_transfer,train_q95,d_optimal_strict,,,21.9,298.34999999999997,99830.0,25.19999999999999,998.3,17.9,256,5.407955300250588,19.488722490340834,15.255298835886457,0.3544968445671449,8.58405603214379
