method,tone_count,nuisance_case,one_sigma_floor_c,three_sigma_floor_c,one_sigma_to_train_q05_q95_range,one_sigma_to_test_q05_q95_range,identifiable,target_condition_number,nuisance_count,median_snr_db,q05_snr_db,q95_snr_db
uniform,16,ideal_target_only,0.682891846331025,2.048675538993075,0.01645522521279578,0.015992783286440864,True,1.0,0,26.49500774369539,-141.41589323028398,32.476746960521105
uniform,16,offset_gas_pm,2.4064395654409516,7.219318696322855,0.05798649555279402,0.05635689848807849,True,1.0,7,26.49500774369539,-141.41589323028398,32.476746960521105
uniform,16,offset_gas_pm_background_scale,59.98088388791482,179.94265166374447,1.4453225033232486,1.4047045407005812,True,1.0,8,26.49500774369539,-141.41589323028398,32.476746960521105
d_optimal_default,16,ideal_target_only,0.27222115772678723,0.8166634731803617,0.006559545969320174,0.006375202757067616,True,1.0,0,23.784573201522555,7.724731859070875,31.864278092064165
d_optimal_default,16,offset_gas_pm,0.5327440254277639,1.5982320762832916,0.012837205431994311,0.012476440876528428,True,1.0,7,23.784573201522555,7.724731859070875,31.864278092064165
d_optimal_default,16,offset_gas_pm_background_scale,11.854947349500122,35.56484204850037,0.2856613819156656,0.2776334273887616,True,1.0,8,23.784573201522555,7.724731859070875,31.864278092064165
d_optimal_strict,16,ideal_target_only,0.27223138888019627,0.8166941666405888,0.006559792503137259,0.00637544236253387,True,1.0,0,21.9795260616264,6.3853972961989065,31.826952968713062
d_optimal_strict,16,offset_gas_pm,0.5494002958259837,1.6482008874779512,0.013238561345204427,0.012866517466650672,True,1.0,7,21.9795260616264,6.3853972961989065,31.826952968713062
d_optimal_strict,16,offset_gas_pm_background_scale,0.9585594861665643,2.875678458499693,0.023097818943772632,0.022448699910223986,True,1.0,8,21.9795260616264,6.3853972961989065,31.826952968713062
uniform,32,ideal_target_only,0.5216753294921956,1.565025988476587,0.012570489867281823,0.01221722083119896,True,1.0,0,23.188762042539196,-53.50057216071497,29.559135541759673
uniform,32,offset_gas_pm,1.1135209780761692,3.3405629342285077,0.026831830797016128,0.02607777466220537,True,1.0,7,23.188762042539196,-53.50057216071497,29.559135541759673
uniform,32,offset_gas_pm_background_scale,6.695402371359574,20.08620711407872,0.1613349969002307,0.1568009923035029,True,1.0,8,23.188762042539196,-53.50057216071497,29.559135541759673
d_optimal_default,32,ideal_target_only,0.20482596643611367,0.6144778993083411,0.004935565456291896,0.0047968610406584,True,1.0,0,21.23628722824658,6.390781426510978,28.88518190004272
d_optimal_default,32,offset_gas_pm,0.44044018425098197,1.321320552752946,0.010613016487975468,0.010314758413371943,True,1.0,7,21.23628722824658,6.390781426510978,28.88518190004272
d_optimal_default,32,offset_gas_pm_background_scale,8.497987640211427,25.49396292063428,0.2047707865111187,0.19901610398621608,True,1.0,8,21.23628722824658,6.390781426510978,28.88518190004272
d_optimal_strict,32,ideal_target_only,0.21282388187449391,0.6384716456234818,0.005128286310228769,0.004984165851861684,True,1.0,0,19.778930497240992,2.9846027069701493,28.620885856087938
d_optimal_strict,32,offset_gas_pm,0.4459483197533621,1.3378449592600863,0.010745742644659327,0.010443754560968667,True,1.0,7,19.778930497240992,2.9846027069701493,28.620885856087938
d_optimal_strict,32,offset_gas_pm_background_scale,0.816474233537647,2.449422700612941,0.019674077916569808,0.01912117642945309,True,1.0,8,19.778930497240992,2.9846027069701493,28.620885856087938
uniform,64,ideal_target_only,0.30435520296060975,0.9130656088818292,0.00733386031230385,0.007127756509616153,True,1.0,0,20.784123352056355,-55.22286149407226,26.584201970329744
uniform,64,offset_gas_pm,0.539224694954598,1.617674084863794,0.01299336614348429,0.012628212996594801,True,1.0,7,20.784123352056355,-55.22286149407226,26.584201970329744
uniform,64,offset_gas_pm_background_scale,1.5565060464364193,4.6695181393092575,0.03750616979364866,0.03645213223504495,True,1.0,8,20.784123352056355,-55.22286149407226,26.584201970329744
d_optimal_default,64,ideal_target_only,0.16613148430572044,0.49839445291716133,0.0040031682965233845,0.003890667079759261,True,1.0,0,18.22598727160677,4.842338015074215,26.109586670442923
