analyte,frequency_thz,concentration_count,spearman_rho,spearman_pvalue,selection_role
lysozyme,0.3,7,0.42857142857142866,0.3373683110858243,descriptive_only
lysozyme,0.4,7,-0.39285714285714296,0.3833168704269727,descriptive_only
lysozyme,0.5,7,-0.7142857142857144,0.07134356146753766,descriptive_only
lysozyme,0.6,7,-0.8214285714285715,0.0234488083456915,descriptive_only
lysozyme,0.7,7,-0.8214285714285715,0.0234488083456915,descriptive_only
lysozyme,0.8,7,-0.8214285714285715,0.0234488083456915,descriptive_only
lysozyme,0.9,7,-0.8928571428571429,0.006807187408935393,descriptive_only
lysozyme,1.0,7,-0.9642857142857145,0.00045414916919416935,descriptive_only
lysozyme,1.1,7,-0.9642857142857145,0.00045414916919416935,descriptive_only
lysozyme,1.2,7,-0.8928571428571429,0.006807187408935393,descriptive_only
lysozyme,1.3,7,-0.8571428571428573,0.013697326615325618,descriptive_only
ovalbumin,0.3,6,-0.08571428571428573,0.8717434402332361,descriptive_only
ovalbumin,0.4,6,-0.2571428571428572,0.6227871720116619,descriptive_only
ovalbumin,0.5,6,-0.5428571428571429,0.26570262390670546,descriptive_only
ovalbumin,0.6,6,-0.7714285714285715,0.07239650145772594,descriptive_only
ovalbumin,0.7,6,-0.7714285714285715,0.07239650145772594,descriptive_only
ovalbumin,0.8,6,-0.7142857142857143,0.11078717201166179,descriptive_only
ovalbumin,0.9,6,-0.7714285714285715,0.07239650145772594,descriptive_only
ovalbumin,1.0,6,-0.8285714285714287,0.04156268221574335,descriptive_only
ovalbumin,1.1,6,-1.0,0.0,descriptive_only
ovalbumin,1.2,6,-1.0,0.0,descriptive_only
ovalbumin,1.3,6,-0.942857142857143,0.004804664723032055,descriptive_only
