target,elevation_deg,n_pilots,residual_error_std_db,detection_floor_1sigma_ug_m3,detection_floor_1sigma_ppm,detection_floor_3sigma_ug_m3,detection_floor_3sigma_ppm,who_2021_guideline_ug_m3,who_averaging_period,floor_to_guideline_ratio,floor_3sigma_to_guideline_ratio,median_snr_db,q05_snr_db,q95_snr_db,identifiable,condition_number,assumption,sensitivity_variable,sensitivity_value,tone_count,tx_power_dbm
CO,15.0,30,0.63,41430.66252325022,35.87331113607886,124291.98756975066,107.61993340823659,4000.0,24 h,10.357665630812555,31.072996892437665,5.2692527608927975,-241.2465881878017,13.196423167116492,True,241.53299945237566,joint gas CRB with background and PM spectral nuisance,elevation_deg,15.0,256,23.0
O3,15.0,30,0.63,13522.706222285371,6.831076692921179,40568.11866685611,20.493230078763535,100.0,8 h,135.2270622228537,405.6811866685611,5.2692527608927975,-241.2465881878017,13.196423167116492,True,241.53299945237566,joint gas CRB with background and PM spectral nuisance,elevation_deg,15.0,256,23.0
SO2,15.0,30,0.63,2876.5183715169355,1.090120554573005,8629.555114550807,3.270361663719015,40.0,24 h,71.91295928792339,215.73887786377017,5.2692527608927975,-241.2465881878017,13.196423167116492,True,241.53299945237566,joint gas CRB with background and PM spectral nuisance,elevation_deg,15.0,256,23.0
NO2,15.0,30,0.63,32339.609778661288,17.04404541072605,97018.82933598387,51.13213623217815,25.0,24 h,1293.5843911464515,3880.7531734393547,5.2692527608927975,-241.2465881878017,13.196423167116492,True,241.53299945237566,joint gas CRB with background and PM spectral nuisance,elevation_deg,15.0,256,23.0
PM2.5,15.0,30,0.63,891419.9945554773,,2674259.983666432,,15.0,24 h,59427.99963703182,178283.99891109546,5.2692527608927975,-241.2465881878017,13.196423167116492,True,1.0,optimistic single fine mode CRB,elevation_deg,15.0,256,23.0
PM10,15.0,30,0.63,931411.5538414371,,2794234.661524311,,45.0,24 h,20698.034529809713,62094.103589429134,5.2692527608927975,-241.2465881878017,13.196423167116492,True,1.0,"optimistic fixed composition PM10 CRB, fine fraction 0.7681",elevation_deg,15.0,256,23.0
CO,30.0,30,0.63,60863.24042547058,52.699276998228285,182589.72127641176,158.09783099468484,4000.0,24 h,15.215810106367647,45.64743031910294,11.59644762683866,-112.54077083161528,17.827385485759123,True,647.103456336813,joint gas CRB with background and PM spectral nuisance,elevation_deg,30.0,256,23.0
O3,30.0,30,0.63,21210.849642819114,10.714788759762754,63632.54892845734,32.14436627928826,100.0,8 h,212.10849642819113,636.3254892845735,11.59644762683866,-112.54077083161528,17.827385485759123,True,647.103456336813,joint gas CRB with background and PM spectral nuisance,elevation_deg,30.0,256,23.0
SO2,30.0,30,0.63,3298.596510879489,1.250076444273235,9895.789532638468,3.750229332819705,40.0,24 h,82.46491277198723,247.3947383159617,11.59644762683866,-112.54077083161528,17.827385485759123,True,647.103456336813,joint gas CRB with background and PM spectral nuisance,elevation_deg,30.0,256,23.0
NO2,30.0,30,0.63,51472.839400316196,27.127891095855855,154418.5182009486,81.38367328756756,25.0,24 h,2058.913576012648,6176.740728037944,11.59644762683866,-112.54077083161528,17.827385485759123,True,647.103456336813,joint gas CRB with background and PM spectral nuisance,elevation_deg,30.0,256,23.0
