scenario,method,tone_count,target,detection_floor_1sigma_ug_m3,detection_floor_3sigma_ug_m3,detection_floor_1sigma_ppm,floor_to_guideline_ratio,floor_3sigma_to_guideline_ratio,who_2021_guideline_ug_m3,who_averaging_period,identifiable,target_rank,target_condition_number,median_snr_db,q05_snr_db,q95_snr_db,frequency_min_ghz,frequency_max_ghz,selected_index_count,power_optimization_success,uniform_floor_ratio,gain_over_uniform,equal_d_optimal_floor_ratio,gain_over_equal_d_optimal
reference,uniform_equal,16,CO,7398464.061837672,22195392.185513016,6253.406126787919,1849.6160154594181,5548.848046378254,4000.0,24 h,True,4,495257.8442947888,26.727158462857012,-137.1906564127355,32.51605254139092,60.0,400.0,16,,1849.6160154594181,1.0,27.062228210673055,0.014631268319738888
reference,uniform_equal,16,O3,137712.05394516338,413136.16183549014,67.90831960697484,1377.1205394516337,4131.361618354901,100.0,8 h,True,4,495257.8442947888,26.727158462857012,-137.1906564127355,32.51605254139092,60.0,400.0,16,,1377.1205394516337,1.0,620.6183746794343,0.4506637995004875
reference,uniform_equal,16,SO2,31906.85712891482,95720.57138674446,11.803665244192324,797.6714282228705,2393.0142846686113,40.0,24 h,True,4,495257.8442947888,26.727158462857012,-137.1906564127355,32.51605254139092,60.0,400.0,16,,797.6714282228705,1.0,195.23010490588644,0.24475002864379752
reference,uniform_equal,16,NO2,325230.2626661837,975690.787998551,167.32249716082535,13009.210506647349,39027.63151994204,25.0,24 h,True,4,495257.8442947888,26.727158462857012,-137.1906564127355,32.51605254139092,60.0,400.0,16,,13009.210506647349,1.0,4852.830049798791,0.37303032703784206
reference,d_optimal_equal,16,CO,108248.91284269223,324746.7385280767,91.49526295333312,27.062228210673055,81.18668463201917,4000.0,24 h,True,4,718.4337526483112,21.00227709528299,6.073217471209347,31.92513404206631,66.3147605083089,400.0,16,,1849.6160154594181,68.34677473933759,27.062228210673055,1.0
reference,d_optimal_equal,16,O3,62061.83746794343,186185.51240383027,30.603821331772732,620.6183746794343,1861.8551240383028,100.0,8 h,True,4,718.4337526483112,21.00227709528299,6.073217471209347,31.92513404206631,66.3147605083089,400.0,16,,1377.1205394516337,2.2189490283186553,620.6183746794343,1.0
reference,d_optimal_equal,16,SO2,7809.204196235457,23427.61258870637,2.8889474066178678,195.23010490588644,585.6903147176592,40.0,24 h,True,4,718.4337526483112,21.00227709528299,6.073217471209347,31.92513404206631,66.3147605083089,400.0,16,,797.6714282228705,4.085801360437725,195.23010490588644,1.0
reference,d_optimal_equal,16,NO2,121320.75124496977,363962.2537349093,62.41636583669108,4852.830049798791,14558.490149396372,25.0,24 h,True,4,718.4337526483112,21.00227709528299,6.073217471209347,31.92513404206631,66.3147605083089,400.0,16,,13009.210506647349,2.6807471873421034,4852.830049798791,1.0
reference,uniform_equal,32,CO,146304.6672815119,438914.0018445357,123.66114035412721,36.57616682037798,109.72850046113392,4000.0,24 h,True,4,1603.225240942422,23.663781945356178,-48.47512970641317,29.603670816235056,60.0,400.0,32,,36.57616682037798,1.0,21.132643386544157,0.5777708607444987
reference,uniform_equal,32,O3,94193.53400871971,282580.6020261591,46.448545563932065,941.9353400871971,2825.806020261591,100.0,8 h,True,4,1603.225240942422,23.663781945356178,-48.47512970641317,29.603670816235056,60.0,400.0,32,,941.9353400871971,1.0,452.20344990249606,0.48007907831617674
reference,uniform_equal,32,SO2,11208.682975598327,33626.04892679498,4.146555116277599,280.21707438995816,840.6512231698746,40.0,24 h,True,4,1603.225240942422,23.663781945356178,-48.47512970641317,29.603670816235056,60.0,400.0,32,,280.21707438995816,1.0,136.223896453671,0.4861370305511715
reference,uniform_equal,32,NO2,280368.6562520118,841105.9687560353,144.24236940663212,11214.74625008047,33644.23875024141,25.0,24 h,True,4,1603.225240942422,23.663781945356178,-48.47512970641317,29.603670816235056,60.0,400.0,32,,11214.74625008047,1.0,3573.3435729184666,0.31862901694212
reference,d_optimal_equal,32,CO,84530.57354617663,253591.7206385299,71.44780350305034,21.132643386544157,63.39793015963247,4000.0,24 h,True,4,824.0212203421687,20.756278734307507,5.127795799747522,29.12100065522034,66.97947214076247,400.0,32,,36.57616682037798,1.730789951420238,21.132643386544157,1.0
reference,d_optimal_equal,32,O3,45220.34499024961,135661.03497074882,22.29897494345945,452.20344990249606,1356.6103497074882,100.0,8 h,True,4,824.0212203421687,20.756278734307507,5.127795799747522,29.12100065522034,66.97947214076247,400.0,32,,941.9353400871971,2.0829901680102108,452.20344990249606,1.0
reference,d_optimal_equal,32,SO2,5448.95585814684,16346.86757444052,2.01579399124396,136.223896453671,408.67168936101297,40.0,24 h,True,4,824.0212203421687,20.756278734307507,5.127795799747522,29.12100065522034,66.97947214076247,400.0,32,,280.21707438995816,2.0570331761524563,136.223896453671,1.0
reference,d_optimal_equal,32,NO2,89333.58932296166,268000.767968885,45.959804365437314,3573.3435729184666,10720.0307187554,25.0,24 h,True,4,824.0212203421687,20.756278734307507,5.127795799747522,29.12100065522034,66.97947214076247,400.0,32,,11214.74625008047,3.138446113906987,3573.3435729184666,1.0
reference,d_optimal_power,32,CO,84387.75380874722,253163.26142624166,71.32708793106099,21.096938452186805,63.290815356560415,4000.0,24 h,True,4,812.6750076407068,18.806052993304405,7.898317599555098,23.965091841911082,66.97947214076247,400.0,32,True,36.57616682037798,1.733719179362097,21.132643386544157,1.0016924225492847
reference,d_optimal_power,32,O3,44469.64106600806,133408.92319802416,21.928789178617794,444.6964106600806,1334.0892319802415,100.0,8 h,True,4,812.6750076407068,18.806052993304405,7.898317599555098,23.965091841911082,66.97947214076247,400.0,32,True,941.9353400871971,2.118153683068962,452.20344990249606,1.0168812678997623
reference,d_optimal_power,32,SO2,5413.68042704064,16241.041281121921,2.002744151253771,135.342010676016,406.026032028048,40.0,24 h,True,4,812.6750076407068,18.806052993304405,7.898317599555098,23.965091841911082,66.97947214076247,400.0,32,True,280.21707438995816,2.0704367623202122,136.223896453671,1.0065159795783296
reference,d_optimal_power,32,NO2,88646.59394354641,265939.78183063923,45.60636314050526,3545.8637577418563,10637.59127322557,25.0,24 h,True,4,812.6750076407068,18.806052993304405,7.898317599555098,23.965091841911082,66.97947214076247,400.0,32,True,11214.74625008047,3.162768514609387,3573.3435729184666,1.007749822625478
reference,uniform_equal,64,CO,126405.62269938685,379216.86809816054,106.84186458728941,31.601405674846713,94.80421702454014,4000.0,24 h,True,4,639.2320269163773,20.839968970258468,-57.58130152580275,26.639033501427797,60.0,400.0,64,,31.601405674846713,1.0,16.092941389580965,0.5092476440815484
reference,uniform_equal,64,O3,54348.56085997127,163045.68257991382,26.800264285707975,543.4856085997127,1630.4568257991382,100.0,8 h,True,4,639.2320269163773,20.839968970258468,-57.58130152580275,26.639033501427797,60.0,400.0,64,,543.4856085997127,1.0,328.8540262973947,0.6050832277687813
reference,uniform_equal,64,SO2,7529.963852492847,22589.891557478542,2.7856448617481635,188.24909631232117,564.7472889369635,40.0,24 h,True,4,639.2320269163773,20.839968970258468,-57.58130152580275,26.639033501427797,60.0,400.0,64,,188.24909631232117,1.0,100.94653151478936,0.5362391293890225
