feature_set,alpha,mean_nrmse_range,max_nrmse_range,mean_r2
template_projection,17.78279410038923,0.07792598644421755,0.09459506708311614,0.9452304945721394
template_projection,31.622776601683793,0.07792684162732656,0.09458343948000023,0.9452310494596596
template_projection,10.0,0.07792724427497058,0.09460228382941606,0.9452278019861046
template_projection,5.623413251903491,0.07792851088062218,0.09460655783921033,0.9452255220477395
template_projection,3.1622776601683795,0.07792940170171085,0.09460902974724382,0.9452239954334024
template_projection,1.7782794100389228,0.07792995941560925,0.0946104414926274,0.9452230592125771
template_projection,1.0,0.07793029104715969,0.09461124224160375,0.9452225080772552
template_projection,0.5623413251903491,0.07793048324093989,0.0946116947084522,0.9452221903395838
template_projection,0.31622776601683794,0.07793059312481952,0.09461194983653363,0.9452220091899531
template_projection,0.1778279410038923,0.07793065548828175,0.09461209352297409,0.9452219065396967
template_projection,0.1,0.07793069073852248,0.09461217439254557,0.9452218485677442
template_projection,0.05623413251903491,0.07793071061833803,0.09461221989058893,0.945221815889449
template_projection,0.03162277660168379,0.07793072181565353,0.0946122454828944,0.9452217974883393
template_projection,0.01778279410038923,0.07793072811808245,0.09461225987667961,0.9452217871328066
template_projection,0.01,0.07793073166400621,0.09461226797158744,0.9452217813069872
template_projection,0.005623413251903491,0.07793073365859728,0.09461227252390607,0.9452217780301052
template_projection,0.0031622776601683794,0.07793073478041901,0.09461227508393172,0.9452217761871314
template_projection,0.0017782794100389228,0.07793073541132288,0.09461227652356166,0.945221775150673
template_projection,0.001,0.07793073576612429,0.09461227733313197,0.9452217745678047
template_projection,56.23413251903491,0.07793784762611462,0.09456653417722072,0.9452190484857494
template_projection,100.0,0.07798583025211392,0.09454817043854499,0.9451587697464578
template_projection,177.82794100389228,0.07815267507701977,0.09455124893314294,0.944939421928039
template_projection,316.22776601683796,0.0786658160779281,0.09482782166095094,0.9442476472691799
hybrid_path_template,177.82794100389228,0.07952926133343012,0.097345132199289,0.9429827982972329
hybrid_path_template,316.22776601683796,0.07954462681752632,0.09736281296008119,0.942963374880981
hybrid_path_template,100.0,0.07956354579393522,0.0973848236631748,0.9429353812351743
hybrid_path_template,56.23413251903491,0.07960227361865581,0.09742975980239815,0.9428822978021577
path_normalized,56.23413251903491,0.07962867761601645,0.09748238342966174,0.9428405203389914
hybrid_path_template,31.622776601683793,0.07963190013546423,0.09746429743949943,0.9428417728553091
path_normalized,31.622776601683793,0.07963499432560142,0.0974769928664236,0.9428344737524696
path_normalized,17.78279410038923,0.0796490870524224,0.09748847333116932,0.9428165921443856
hybrid_path_template,17.78279410038923,0.07965145954388547,0.09748719301470962,0.942815035753032
path_normalized,10.0,0.07966075294753705,0.0975000531200999,0.9428013998588964
hybrid_path_template,10.0,0.07966346639249576,0.09750128831055345,0.9427986265483592
path_normalized,100.0,0.07966624497964439,0.09755985278158037,0.9427840821812143
path_normalized,5.623413251903491,0.07966857829135407,0.09750829311314903,0.9427911196175707
hybrid_path_template,5.623413251903491,0.07967055532404788,0.09750962543243644,0.9427889392890885
path_normalized,3.1622776601683795,0.07967339458261606,0.09751349396850605,0.9427847677462259
hybrid_path_template,3.1622776601683795,0.07967465178375623,0.09751444844177727,0.9427833415470461
path_normalized,1.7782794100389228,0.07967623737533519,0.09751660181296505,0.942781011295844
hybrid_path_template,1.7782794100389228,0.07967699084476852,0.09751720411236453,0.9427801453131538
path_normalized,1.0,0.07967787902449387,0.09751840811039021,0.9427788398046476
hybrid_path_template,1.0,0.07967831752452365,0.09751876765742534,0.94277833247254
path_normalized,0.5623413251903491,0.07967881589434997,0.09751944253188247,0.942777599869769
hybrid_path_template,0.5623413251903491,0.07967906717522247,0.09751965133415613,0.9427773081170713
path_normalized,0.31622776601683794,0.07967934708529308,0.09752003015506001,0.942776896629519
hybrid_path_template,0.31622776601683794,0.07967948987823874,0.09752014966852812,0.9427767305184576
