section,case,target,metric,value,unit,notes
model_metrics,training_period_mean,CO,mae,842.5362600000063,ug/m3,
model_metrics,training_period_mean,CO,rmse,1349.053087111262,ug/m3,
model_metrics,training_period_mean,CO,normalized_rmse,0.44968436237042064,dimensionless,
model_metrics,training_period_mean,CO,r2,-0.015699488106189374,dimensionless,
model_metrics,training_period_mean,CO,bias,-167.72166666665717,ug/m3,
model_metrics,training_period_mean,O3,mae,45.29963475363107,ug/m3,
model_metrics,training_period_mean,O3,rmse,57.32584765836353,ug/m3,
model_metrics,training_period_mean,O3,normalized_rmse,0.30986944680196504,dimensionless,
model_metrics,training_period_mean,O3,r2,-0.035382354826414275,dimensionless,
model_metrics,training_period_mean,O3,bias,10.597257133333716,ug/m3,
model_metrics,training_period_mean,SO2,mae,13.485054762499546,ug/m3,
model_metrics,training_period_mean,SO2,rmse,15.784931727874834,ug/m3,
model_metrics,training_period_mean,SO2,normalized_rmse,0.23559599593843036,dimensionless,
model_metrics,training_period_mean,SO2,r2,-0.43542419579497116,dimensionless,
model_metrics,training_period_mean,SO2,bias,8.693784199999179,ug/m3,
model_metrics,training_period_mean,NO2,mae,28.769437763500296,ug/m3,
model_metrics,training_period_mean,NO2,rmse,36.013003822921355,ug/m3,
model_metrics,training_period_mean,NO2,normalized_rmse,0.3365701291861809,dimensionless,
model_metrics,training_period_mean,NO2,r2,-4.3702518669475054e-05,dimensionless,
model_metrics,training_period_mean,NO2,bias,0.2380691333336224,ug/m3,
model_metrics,training_period_mean,PM2.5,mae,60.79125100833358,ug/m3,
model_metrics,training_period_mean,PM2.5,rmse,85.87251108149653,ug/m3,
model_metrics,training_period_mean,PM2.5,normalized_rmse,0.39202241991096465,dimensionless,
model_metrics,training_period_mean,PM2.5,r2,-0.003274785728855978,dimensionless,
model_metrics,training_period_mean,PM2.5,bias,-4.906091666666413,ug/m3,
model_metrics,training_period_mean,PM10,mae,70.664053629167,ug/m3,
model_metrics,training_period_mean,PM10,rmse,95.33853559266711,ug/m3,
model_metrics,training_period_mean,PM10,normalized_rmse,0.3611308166388906,dimensionless,
model_metrics,training_period_mean,PM10,r2,-0.009115002006937933,dimensionless,
model_metrics,training_period_mean,PM10,bias,9.06100833333436,ug/m3,
model_metrics,ridge_shared_validation_alpha,CO,mae,841.8536668062932,ug/m3,
model_metrics,ridge_shared_validation_alpha,CO,rmse,1348.704666279884,ug/m3,
model_metrics,ridge_shared_validation_alpha,CO,normalized_rmse,0.4495682220932946,dimensionless,
model_metrics,ridge_shared_validation_alpha,CO,r2,-0.01517490510253472,dimensionless,
model_metrics,ridge_shared_validation_alpha,CO,bias,-167.80551695968273,ug/m3,
model_metrics,ridge_shared_validation_alpha,O3,mae,45.334621332529224,ug/m3,
model_metrics,ridge_shared_validation_alpha,O3,rmse,57.352831956782055,ug/m3,
model_metrics,ridge_shared_validation_alpha,O3,normalized_rmse,0.3100153078744976,dimensionless,
model_metrics,ridge_shared_validation_alpha,O3,r2,-0.03635733010509745,dimensionless,
model_metrics,ridge_shared_validation_alpha,O3,bias,10.625221378599674,ug/m3,
model_metrics,ridge_shared_validation_alpha,SO2,mae,13.479420969106508,ug/m3,
model_metrics,ridge_shared_validation_alpha,SO2,rmse,15.779714430243253,ug/m3,
model_metrics,ridge_shared_validation_alpha,SO2,normalized_rmse,0.23551812582452616,dimensionless,
model_metrics,ridge_shared_validation_alpha,SO2,r2,-0.4344754685234886,dimensionless,
model_metrics,ridge_shared_validation_alpha,SO2,bias,8.69053634728355,ug/m3,
model_metrics,ridge_shared_validation_alpha,NO2,mae,28.766539570878805,ug/m3,
model_metrics,ridge_shared_validation_alpha,NO2,rmse,36.01115410805882,ug/m3,
model_metrics,ridge_shared_validation_alpha,NO2,normalized_rmse,0.3365528421313908,dimensionless,
model_metrics,ridge_shared_validation_alpha,NO2,r2,5.902416327274729e-05,dimensionless,
model_metrics,ridge_shared_validation_alpha,NO2,bias,0.22473594439030603,ug/m3,
model_metrics,ridge_shared_validation_alpha,PM2.5,mae,60.75681603614981,ug/m3,
model_metrics,ridge_shared_validation_alpha,PM2.5,rmse,85.85213978770285,ug/m3,
model_metrics,ridge_shared_validation_alpha,PM2.5,normalized_rmse,0.3919294215371063,dimensionless,
model_metrics,ridge_shared_validation_alpha,PM2.5,r2,-0.0027988340900071407,dimensionless,
model_metrics,ridge_shared_validation_alpha,PM2.5,bias,-4.896388459455657,ug/m3,
model_metrics,ridge_shared_validation_alpha,PM10,mae,70.65405662634478,ug/m3,
model_metrics,ridge_shared_validation_alpha,PM10,rmse,95.32426079727529,ug/m3,
model_metrics,ridge_shared_validation_alpha,PM10,normalized_rmse,0.3610767454442246,dimensionless,
model_metrics,ridge_shared_validation_alpha,PM10,r2,-0.008812840206660288,dimensionless,
model_metrics,ridge_shared_validation_alpha,PM10,bias,9.064941523740272,ug/m3,
model_metrics,ridge_target_specific_validation_alpha,CO,mae,842.4590197020605,ug/m3,
model_metrics,ridge_target_specific_validation_alpha,CO,rmse,1349.0044948947223,ug/m3,
model_metrics,ridge_target_specific_validation_alpha,CO,normalized_rmse,0.4496681649649074,dimensionless,
model_metrics,ridge_target_specific_validation_alpha,CO,r2,-0.0156263194502424,dimensionless,
model_metrics,ridge_target_specific_validation_alpha,CO,bias,-167.73079973215675,ug/m3,
model_metrics,ridge_target_specific_validation_alpha,O3,mae,45.29966548393079,ug/m3,
model_metrics,ridge_target_specific_validation_alpha,O3,rmse,57.32586885670017,ug/m3,
model_metrics,ridge_target_specific_validation_alpha,O3,normalized_rmse,0.3098695613875685,dimensionless,
model_metrics,ridge_target_specific_validation_alpha,O3,r2,-0.035383120567826554,dimensionless,
model_metrics,ridge_target_specific_validation_alpha,O3,bias,10.597288174854647,ug/m3,
model_metrics,ridge_target_specific_validation_alpha,SO2,mae,13.479420969106508,ug/m3,
model_metrics,ridge_target_specific_validation_alpha,SO2,rmse,15.779714430243253,ug/m3,
model_metrics,ridge_target_specific_validation_alpha,SO2,normalized_rmse,0.23551812582452616,dimensionless,
model_metrics,ridge_target_specific_validation_alpha,SO2,r2,-0.4344754685234886,dimensionless,
model_metrics,ridge_target_specific_validation_alpha,SO2,bias,8.69053634728355,ug/m3,
model_metrics,ridge_target_specific_validation_alpha,NO2,mae,28.768742473640668,ug/m3,
model_metrics,ridge_target_specific_validation_alpha,NO2,rmse,36.012388259207576,ug/m3,
model_metrics,ridge_target_specific_validation_alpha,NO2,normalized_rmse,0.33656437625427643,dimensionless,
model_metrics,ridge_target_specific_validation_alpha,NO2,r2,-9.515681192562297e-06,dimensionless,
model_metrics,ridge_target_specific_validation_alpha,NO2,bias,0.23660886164370898,ug/m3,
model_metrics,ridge_target_specific_validation_alpha,PM2.5,mae,60.75681603614981,ug/m3,
model_metrics,ridge_target_specific_validation_alpha,PM2.5,rmse,85.85213978770285,ug/m3,
model_metrics,ridge_target_specific_validation_alpha,PM2.5,normalized_rmse,0.3919294215371063,dimensionless,
model_metrics,ridge_target_specific_validation_alpha,PM2.5,r2,-0.0027988340900071407,dimensionless,
model_metrics,ridge_target_specific_validation_alpha,PM2.5,bias,-4.896388459455657,ug/m3,
model_metrics,ridge_target_specific_validation_alpha,PM10,mae,70.65405662634478,ug/m3,
model_metrics,ridge_target_specific_validation_alpha,PM10,rmse,95.32426079727529,ug/m3,
model_metrics,ridge_target_specific_validation_alpha,PM10,normalized_rmse,0.3610767454442246,dimensionless,
model_metrics,ridge_target_specific_validation_alpha,PM10,r2,-0.008812840206660288,dimensionless,
model_metrics,ridge_target_specific_validation_alpha,PM10,bias,9.064941523740272,ug/m3,
model_metrics,physics_lmmse_pilot_power,CO,mae,841.805107745345,ug/m3,
model_metrics,physics_lmmse_pilot_power,CO,rmse,1348.8852082061808,ug/m3,
model_metrics,physics_lmmse_pilot_power,CO,normalized_rmse,0.4496284027353936,dimensionless,
model_metrics,physics_lmmse_pilot_power,CO,r2,-0.015446712422271025,dimensionless,
model_metrics,physics_lmmse_pilot_power,CO,bias,-168.21733700204186,ug/m3,
model_metrics,physics_lmmse_pilot_power,O3,mae,45.290536933023084,ug/m3,
model_metrics,physics_lmmse_pilot_power,O3,rmse,57.31748088476106,ug/m3,
model_metrics,physics_lmmse_pilot_power,O3,normalized_rmse,0.30982422099870843,dimensionless,
model_metrics,physics_lmmse_pilot_power,O3,r2,-0.03508014638344781,dimensionless,
model_metrics,physics_lmmse_pilot_power,O3,bias,10.601351310358135,ug/m3,
model_metrics,physics_lmmse_pilot_power,SO2,mae,13.476227930943004,ug/m3,
model_metrics,physics_lmmse_pilot_power,SO2,rmse,15.785666075541704,ug/m3,
model_metrics,physics_lmmse_pilot_power,SO2,normalized_rmse,0.23560695635136872,dimensionless,
model_metrics,physics_lmmse_pilot_power,SO2,r2,-0.4355577567056914,dimensionless,
model_metrics,physics_lmmse_pilot_power,SO2,bias,8.680260583595457,ug/m3,
model_metrics,physics_lmmse_pilot_power,NO2,mae,28.756756128943458,ug/m3,
model_metrics,physics_lmmse_pilot_power,NO2,rmse,36.00588087308111,ug/m3,
model_metrics,physics_lmmse_pilot_power,NO2,normalized_rmse,0.3365035595615057,dimensionless,
model_metrics,physics_lmmse_pilot_power,NO2,r2,0.0003518521935869101,dimensionless,
model_metrics,physics_lmmse_pilot_power,NO2,bias,0.22531172914122505,ug/m3,
model_metrics,physics_lmmse_pilot_power,PM2.5,mae,60.76937190207388,ug/m3,
model_metrics,physics_lmmse_pilot_power,PM2.5,rmse,85.85895071421358,ug/m3,
model_metrics,physics_lmmse_pilot_power,PM2.5,normalized_rmse,0.3919605145592963,dimensionless,
model_metrics,physics_lmmse_pilot_power,PM2.5,r2,-0.002957950918158758,dimensionless,
model_metrics,physics_lmmse_pilot_power,PM2.5,bias,-4.934908886003361,ug/m3,
model_metrics,physics_lmmse_pilot_power,PM10,mae,70.63614976013727,ug/m3,
model_metrics,physics_lmmse_pilot_power,PM10,rmse,95.32731424198018,ug/m3,
model_metrics,physics_lmmse_pilot_power,PM10,normalized_rmse,0.3610883115226522,dimensionless,
model_metrics,physics_lmmse_pilot_power,PM10,r2,-0.008877470208185967,dimensionless,
model_metrics,physics_lmmse_pilot_power,PM10,bias,9.029023825254416,ug/m3,
model_metrics,ridge_refit_train_validation,CO,mae,851.2495909211652,ug/m3,
model_metrics,ridge_refit_train_validation,CO,rmse,1344.928957981984,ug/m3,
model_metrics,ridge_refit_train_validation,CO,normalized_rmse,0.44830965266066136,dimensionless,
model_metrics,ridge_refit_train_validation,CO,r2,-0.009498882549478393,dimensionless,
model_metrics,ridge_refit_train_validation,CO,bias,-133.55406419226722,ug/m3,
model_metrics,ridge_refit_train_validation,O3,mae,43.97073743185361,ug/m3,
model_metrics,ridge_refit_train_validation,O3,rmse,56.749635050416686,ug/m3,
model_metrics,ridge_refit_train_validation,O3,normalized_rmse,0.3067547840563064,dimensionless,
model_metrics,ridge_refit_train_validation,O3,r2,-0.014672604609980988,dimensionless,
model_metrics,ridge_refit_train_validation,O3,bias,6.620378338017077,ug/m3,
model_metrics,ridge_refit_train_validation,SO2,mae,12.582759635391081,ug/m3,
model_metrics,ridge_refit_train_validation,SO2,rmse,15.078535105379963,ug/m3,
model_metrics,ridge_refit_train_validation,SO2,normalized_rmse,0.22505276276686512,dimensionless,
model_metrics,ridge_refit_train_validation,SO2,r2,-0.30982462109354647,dimensionless,
model_metrics,ridge_refit_train_validation,SO2,bias,7.336227091141386,ug/m3,
model_metrics,ridge_refit_train_validation,NO2,mae,28.77670964105908,ug/m3,
model_metrics,ridge_refit_train_validation,NO2,rmse,36.01507046489337,ug/m3,
model_metrics,ridge_refit_train_validation,NO2,normalized_rmse,0.3365894435971343,dimensionless,
model_metrics,ridge_refit_train_validation,NO2,r2,-0.00015848281305297363,dimensionless,
model_metrics,ridge_refit_train_validation,NO2,bias,0.2491612161215343,ug/m3,
model_metrics,ridge_refit_train_validation,PM2.5,mae,60.96473666449915,ug/m3,
model_metrics,ridge_refit_train_validation,PM2.5,rmse,85.80992380269599,ug/m3,
model_metrics,ridge_refit_train_validation,PM2.5,normalized_rmse,0.39173669848297776,dimensionless,
model_metrics,ridge_refit_train_validation,PM2.5,r2,-0.0018128660713261358,dimensionless,
model_metrics,ridge_refit_train_validation,PM2.5,bias,-4.001097919966818,ug/m3,
model_metrics,ridge_refit_train_validation,PM10,mae,70.13479252935622,ug/m3,
model_metrics,ridge_refit_train_validation,PM10,rmse,95.18579588932184,ug/m3,
model_metrics,ridge_refit_train_validation,PM10,normalized_rmse,0.3605522571565221,dimensionless,
model_metrics,ridge_refit_train_validation,PM10,r2,-0.005884231585287836,dimensionless,
model_metrics,ridge_refit_train_validation,PM10,bias,7.48201484568806,ug/m3,
model_metrics,validation_period_mean_no_thz,CO,mae,885.15375,ug/m3,
model_metrics,validation_period_mean_no_thz,CO,rmse,1338.9876306374156,ug/m3,
model_metrics,validation_period_mean_no_thz,CO,normalized_rmse,0.44632921021247185,dimensionless,
model_metrics,validation_period_mean_no_thz,CO,r2,-0.0005995046473274979,dimensionless,
model_metrics,validation_period_mean_no_thz,CO,bias,-32.775,ug/m3,
model_metrics,validation_period_mean_no_thz,O3,mae,41.30738499999811,ug/m3,
model_metrics,validation_period_mean_no_thz,O3,rmse,56.59667743395027,ug/m3,
model_metrics,validation_period_mean_no_thz,O3,normalized_rmse,0.3059279861294609,dimensionless,
model_metrics,validation_period_mean_no_thz,O3,r2,-0.009210270106227991,dimensionless,
