model,target,mae,rmse,r2,bias,snr_db
linear_regression,gas_ppm,22.046769119900432,26.96659132382515,0.4035839933381622,1.7218599611020575,0
linear_regression,pm_ug_m3,33.98765920043226,42.37209302853103,0.3297667304989844,-1.4159411323270186,0
ridge_alpha_1,gas_ppm,22.043673908627476,26.961588923424177,0.4038052474751004,1.721321492653201,0
ridge_alpha_1,pm_ug_m3,33.98232201880254,42.364151933487136,0.3300179282553972,-1.413710987455675,0
ridge_alpha_10,gas_ppm,22.016824851012956,26.917445601589904,0.40575590936673256,1.7165231579921592,0
ridge_alpha_10,pm_ug_m3,33.934871129849334,42.29406390341372,0.3322329557062996,-1.3938785187040021,0
linear_regression,gas_ppm,20.041912463165318,24.527542190728173,0.5065930683276387,1.4667282732227482,5
linear_regression,pm_ug_m3,30.150849697491942,37.28828188503528,0.48094797024551794,-0.8976496421892121,5
ridge_alpha_1,gas_ppm,20.039073262832943,24.522777818800822,0.5067847341538962,1.4663492209356213,5
ridge_alpha_1,pm_ug_m3,30.145650451769882,37.280475351749466,0.48116528102451717,-0.8956343520734713,5
ridge_alpha_10,gas_ppm,20.013833724557614,24.480706793948595,0.5084755925513854,1.4629822209438075,5
ridge_alpha_10,pm_ug_m3,30.099457860392164,37.21154236586061,0.4830821965561669,-0.8777458153206666,5
linear_regression,gas_ppm,19.057879621593543,23.465635662868806,0.548391788237778,1.2680722056650071,10
linear_regression,pm_ug_m3,27.92030675422323,34.83193323525273,0.5470802007665396,-0.4884673268686678,10
ridge_alpha_1,gas_ppm,19.05494505519124,23.46069820373955,0.5485818161178356,1.2676801104475812,10
ridge_alpha_1,pm_ug_m3,27.91424822360094,34.82333113593578,0.5473038794227542,-0.4862878651029742,10
ridge_alpha_10,gas_ppm,19.030011576430685,23.41723445592047,0.5502528790534096,1.264280062855729,10
ridge_alpha_10,pm_ug_m3,27.86135086786669,34.74772166573794,0.5492675603323031,-0.46707138956668554,10
linear_regression,gas_ppm,18.656898043380995,23.072775196640958,0.5633868086290861,1.1471565365077478,15
linear_regression,pm_ug_m3,27.092943382156694,33.98242326993779,0.568903161864714,-0.2427541161168151,15
ridge_alpha_1,gas_ppm,18.65292285293681,23.06652226643868,0.563623428788153,1.1465645332744574,15
ridge_alpha_1,pm_ug_m3,27.083177378241373,33.97035218717668,0.5692093720095119,-0.23952196988609184,15
ridge_alpha_10,gas_ppm,18.617793626162552,23.01220376951411,0.5656762228881371,1.1418618343950142,15
ridge_alpha_10,pm_ug_m3,26.999209916322307,33.86651057842068,0.5718390544741527,-0.21170875178650728,15
linear_regression,gas_ppm,18.540500668668646,22.932753400236184,0.5686700792127111,1.0787979627692939,20
linear_regression,pm_ug_m3,26.8538405450028,33.74971697478717,0.5747871132864537,-0.10657574091687004,20
ridge_alpha_1,gas_ppm,18.532997035541566,22.921922854349912,0.5690773949235055,1.077851577098514,20
ridge_alpha_1,pm_ug_m3,26.834112767497558,33.726550277847124,0.575370667641695,-0.09985167154586613,20
ridge_alpha_10,gas_ppm,18.474965160707434,22.832082092882466,0.5724487129488567,1.0725843129386416,20
ridge_alpha_10,pm_ug_m3,26.675749673866775,33.54165530325547,0.5800136934497508,-0.04630719186728149,20
linear_regression,gas_ppm,18.5044539347615,22.881480766948524,0.5705966423114341,1.0407479614593398,25
linear_regression,pm_ug_m3,26.791643169587893,33.70568072707203,0.5758960152713049,-0.03200452375450246,25
ridge_alpha_1,gas_ppm,18.487023085617743,22.85625291569115,0.5715429929656539,1.0395129838064767,25
ridge_alpha_1,pm_ug_m3,26.742392350129435,33.64895017702709,0.5773224457260985,-0.014715802098126915,25
ridge_alpha_10,gas_ppm,18.359547238767867,22.67240439122413,0.5784080187834919,1.042893655393579,25
ridge_alpha_10,pm_ug_m3,26.442739997886253,33.2778060544145,0.5865951948818182,0.09803637532044712,25
linear_regression,gas_ppm,18.49090704188203,22.861528218165205,0.571345191414085,1.0195638440456438,30
linear_regression,pm_ug_m3,26.77855357699951,33.70927727860309,0.5758055027415709,0.009054163946448,30
ridge_alpha_1,gas_ppm,18.443445028010707,22.793641054916485,0.5738871870603657,1.0197809219966818,30
ridge_alpha_1,pm_ug_m3,26.6544229741249,33.557957079629716,0.579605354234107,0.05591877478365171,30
ridge_alpha_10,gas_ppm,18.178755625978283,22.41302528538273,0.5879991180369804,1.060949426610572,30
ridge_alpha_10,pm_ug_m3,26.166812750712932,32.88370501254491,0.5963289215377544,0.2633528704825218,30
linear_regression,gas_ppm,18.48569006113655,22.853135216514627,0.5716598720497508,1.0077339671914942,35
linear_regression,pm_ug_m3,26.779296778094498,33.72033982556752,0.5755270368748443,0.03182487915123534,35
ridge_alpha_1,gas_ppm,18.3581927104129,22.672347741948833,0.57841012556052,1.0192761209474415,35
ridge_alpha_1,pm_ug_m3,26.497015134506665,33.34330770998654,0.5849661602633334,0.14861821203568473,35
ridge_alpha_10,gas_ppm,17.853286425398977,21.982568004840584,0.6036726583540044,1.1391598941624865,35
ridge_alpha_10,pm_ug_m3,25.87734067367403,32.32825692910816,0.6098507955956803,0.4542277696616441,35
linear_regression,gas_ppm,18.483838870132793,22.849311280217574,0.5718032054096039,1.0011104228820702,40
linear_regression,pm_ug_m3,26.784525492054833,33.72942295880355,0.5752983283993924,0.04452200795189063,40
ridge_alpha_1,gas_ppm,18.181107512342813,22.421278004025883,0.5876956558048069,1.0541206681236923,40
ridge_alpha_1,pm_ug_m3,26.220266016131305,32.94465178780284,0.5948312040742152,0.2856564165918675,40
ridge_alpha_10,gas_ppm,17.451898919799625,21.432697295590728,0.6232520966727465,1.2603860346912823,40
ridge_alpha_10,pm_ug_m3,25.595991761843347,31.63103177454964,0.6264980578058583,0.6620252580164306,40
linear_regression,gas_ppm,18.48291829615314,22.847444352415117,0.571873175119632,0.9973953357440155,45
linear_regression,pm_ug_m3,26.788258072163956,33.73543557039757,0.5751469001465396,0.051626799299975344,45
ridge_alpha_1,gas_ppm,17.854044340356484,21.986805889635345,0.6035198325773761,1.140721608913807,45
ridge_alpha_1,pm_ug_m3,25.91302573007664,32.37133546212084,0.6088103279074137,0.4617265490824983,45
ridge_alpha_10,gas_ppm,17.131312422581985,20.99234426621293,0.6385742727357893,1.3524895398839691,45
ridge_alpha_10,pm_ug_m3,25.35188840524792,30.9696654050125,0.6419537131599824,0.8400608376181616,45
