model,split,model_role,uses_current_other_station_targets,uses_query_current_targets,uses_query_pollutant_lags,target,mae_ug_m3,rmse_ug_m3,normalized_rmse,r2,bias_ug_m3
training_period_mean,validation,constant control,False,False,False,CO,900.5250633333121,1343.359237264699,0.44778641242156636,-0.010194003472070445,-134.94666666666197
training_period_mean,validation,constant control,False,False,False,O3,40.31675221049953,49.98026290708433,0.27016358328153695,-0.11424614077875539,16.004007133331054
training_period_mean,validation,constant control,False,False,False,SO2,13.00458504289968,15.962105822446182,0.2382403854096445,-0.1305695190161007,5.424534200000189
training_period_mean,validation,constant control,False,False,False,NO2,28.550557551232373,36.07810724144191,0.33717857234992443,-2.690768407198618e-06,-0.05918086666695497
training_period_mean,validation,constant control,False,False,False,PM2.5,65.67503740000187,92.60106874502529,0.4227394144945245,-0.0013822004180681358,-3.440341666666458
training_period_mean,validation,constant control,False,False,False,PM10,74.85180343333273,99.65625197173638,0.37748580292324385,-0.004255238615838541,6.487008333333573
training_period_mean,test,constant control,False,False,False,CO,842.5362600000063,1349.053087111262,0.44968436237042064,-0.015699488106189374,-167.72166666665717
training_period_mean,test,constant control,False,False,False,O3,45.29963475363107,57.32584765836353,0.30986944680196504,-0.035382354826414275,10.597257133333716
training_period_mean,test,constant control,False,False,False,SO2,13.485054762499546,15.784931727874834,0.23559599593843036,-0.43542419579497116,8.693784199999179
training_period_mean,test,constant control,False,False,False,NO2,28.769437763500296,36.013003822921355,0.3365701291861809,-4.3702518669475054e-05,0.2380691333336224
training_period_mean,test,constant control,False,False,False,PM2.5,60.79125100833358,85.87251108149653,0.39202241991096465,-0.003274785728855978,-4.906091666666413
training_period_mean,test,constant control,False,False,False,PM10,70.664053629167,95.33853559266711,0.3611308166388906,-0.009115002006937933,9.06100833333436
other_station_current_mean,validation,spatial aggregate control,True,False,False,CO,325.3217279942272,574.8432584793588,0.1916144194931196,0.8150223152942365,9.36709235209233
other_station_current_mean,validation,spatial aggregate control,True,False,False,O3,10.698820003607493,15.84994202512074,0.08567536229794995,0.8879428888603347,0.057195562770562536
other_station_current_mean,validation,spatial aggregate control,True,False,False,SO2,4.526097195165962,7.790058732984369,0.11626953332812491,0.7307235549981168,0.08499436327561338
other_station_current_mean,validation,spatial aggregate control,True,False,False,NO2,14.437570490620457,20.605960500812255,0.1925790701010491,0.6737883970857425,-0.3269370851370856
other_station_current_mean,validation,spatial aggregate control,True,False,False,PM2.5,17.253327768759007,31.996796390134964,0.14607074362079467,0.8804413879200504,0.2684283459595959
other_station_current_mean,validation,spatial aggregate control,True,False,False,PM10,23.471410939754755,38.61933240695596,0.14628535002634835,0.8491850025851019,0.5916934433621917
other_station_current_mean,test,spatial aggregate control,True,False,False,CO,323.7837698412699,569.0724985583869,0.18969083285279562,0.8192649641830463,-10.676738816738832
other_station_current_mean,test,spatial aggregate control,True,False,False,O3,12.198182278138514,18.335189457545113,0.09910913220294655,0.8940817997397985,-0.028969146825396898
other_station_current_mean,test,spatial aggregate control,True,False,False,SO2,3.35199666305916,7.086563221264735,0.10576960031738411,0.7106881791022962,-0.057599855699855644
