model,model_role,uses_current_other_station_targets,uses_query_current_targets,uses_query_pollutant_lags,validation_macro_normalized_rmse,validation_mean_r2,test_macro_normalized_rmse,test_mean_r2,test_meets_target,selected_config_json,validation_rank
station_target_delta_ridge,station and target specific spatial change regression,True,False,True,0.07501239578587383,0.9509260152686693,0.08888995864824067,0.9245385158752094,False,"{""alpha_by_station_and_target"": {""Aotizhongxin"": {""CO_ug_m3"": 100.0, ""NO2_ug_m3"": 100.0, ""O3_ug_m3"": 10.0, ""PM10_ug_m3"": 100.0, ""PM2_5_ug_m3"": 100.0, ""SO2_ug_m3"": 1000.0}, ""Changping"": {""CO_ug_m3"": 1000.0, ""NO2_ug_m3"": 10.0, ""O3_ug_m3"": 1000.0, ""PM10_ug_m3"": 100.0, ""PM2_5_ug_m3"": 1000.0, ""SO2_ug_m3"": 1000.0}, ""Dingling"": {""CO_ug_m3"": 1000.0, ""NO2_ug_m3"": 100.0, ""O3_ug_m3"": 100.0, ""PM10_ug_m3"": 1000.0, ""PM2_5_ug_m3"": 0.01, ""SO2_ug_m3"": 1000.0}, ""Dongsi"": {""CO_ug_m3"": 1000.0, ""NO2_ug_m3"": 100.0, ""O3_ug_m3"": 1000.0, ""PM10_ug_m3"": 1000.0, ""PM2_5_ug_m3"": 1000.0, ""SO2_ug_m3"": 100.0}, ""Guanyuan"": {""CO_ug_m3"": 1.0, ""NO2_ug_m3"": 100.0, ""O3_ug_m3"": 1000.0, ""PM10_ug_m3"": 10.0, ""PM2_5_ug_m3"": 10.0, ""SO2_ug_m3"": 1000.0}, ""Gucheng"": {""CO_ug_m3"": 1000.0, ""NO2_ug_m3"": 1000.0, ""O3_ug_m3"": 10.0, ""PM10_ug_m3"": 100.0, ""PM2_5_ug_m3"": 1000.0, ""SO2_ug_m3"": 10000.0}, ""Huairou"": {""CO_ug_m3"": 10000.0, ""NO2_ug_m3"": 1000.0, ""O3_ug_m3"": 1000.0, ""PM10_ug_m3"": 10.0, ""PM2_5_ug_m3"": 100.0, ""SO2_ug_m3"": 1000.0}, ""Nongzhanguan"": {""CO_ug_m3"": 1.0, ""NO2_ug_m3"": 100.0, ""O3_ug_m3"": 100.0, ""PM10_ug_m3"": 10.0, ""PM2_5_ug_m3"": 0.1, ""SO2_ug_m3"": 1000.0}, ""Shunyi"": {""CO_ug_m3"": 1000.0, ""NO2_ug_m3"": 100.0, ""O3_ug_m3"": 100.0, ""PM10_ug_m3"": 10.0, ""PM2_5_ug_m3"": 10.0, ""SO2_ug_m3"": 1000.0}, ""Tiantan"": {""CO_ug_m3"": 100.0, ""NO2_ug_m3"": 100.0, ""O3_ug_m3"": 10.0, ""PM10_ug_m3"": 100.0, ""PM2_5_ug_m3"": 10.0, ""SO2_ug_m3"": 1000.0}, ""Wanliu"": {""CO_ug_m3"": 1000.0, ""NO2_ug_m3"": 1000.0, ""O3_ug_m3"": 1.0, ""PM10_ug_m3"": 1000.0, ""PM2_5_ug_m3"": 1.0, ""SO2_ug_m3"": 100.0}, ""Wanshouxigong"": {""CO_ug_m3"": 0.01, ""NO2_ug_m3"": 1000.0, ""O3_ug_m3"": 10.0, ""PM10_ug_m3"": 1.0, ""PM2_5_ug_m3"": 0.01, ""SO2_ug_m3"": 100.0}}}",1
validation_selected_per_target_fusion,validation selected targetwise sensor fusion,True,False,True,0.07501239578587383,0.9509260152686693,0.08888995864824067,0.9245385158752094,False,"{""candidate_order"": [""other_station_current_mean"", ""one_hour_network_delta_transfer"", ""spatial_only_ridge"", ""spatial_causal_ridge"", ""spatial_causal_pls"", ""station_target_delta_ridge"", ""spatial_causal_histogram_boosting"", ""spatial_causal_extra_trees""], ""selected_component_by_target"": {""CO"": ""station_target_delta_ridge"", ""NO2"": ""station_target_delta_ridge"", ""O3"": ""station_target_delta_ridge"", ""PM10"": ""station_target_delta_ridge"", ""PM2.5"": ""station_target_delta_ridge"", ""SO2"": ""station_target_delta_ridge""}}",2
one_hour_network_delta_transfer,spatial change transfer control,True,False,True,0.08336423389134869,0.9397301889303229,0.09477236224506856,0.9158897595352019,False,"{""fixed_control"": true}",3
spatial_causal_histogram_boosting,nonlinear spatial and causal regression,True,False,True,0.08506813500481332,0.9386540896972683,0.09344195028744466,0.9185925077460318,False,"{""early_stopping"": true, ""fitted_iterations"": [120, 120, 120, 120, 120, 120], ""l2_regularization"": 10.0, ""learning_rate"": 0.05, ""max_iter"": 120, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 30}",4
spatial_causal_ridge,spatial and causal regression,True,False,True,0.0911668254095351,0.9282302803612259,0.09738830716377768,0.9100735413718586,False,"{""alpha"": 100.0}",5
spatial_causal_extra_trees,randomized spatial and causal tree regression,True,False,True,0.11160123888731165,0.8916633262098377,0.11434322715266947,0.8748523152678219,False,"{""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 160}",6
spatial_causal_pls,spatial and causal latent regression,True,False,True,0.11686163580626359,0.8768367975029508,0.12031241433970147,0.8592415932181403,False,"{""n_components"": 16, ""scale"": false}",7
spatial_only_ridge,spatial pivot regression,True,False,False,0.1360697332221757,0.8339073442640452,0.13307729180311162,0.8293223661664064,False,"{""alpha"": 1.0}",8
other_station_current_mean,spatial aggregate control,True,False,False,0.14641574647789776,0.806183924457264,0.14378694185152788,0.805821556650379,False,"{""fixed_control"": true}",9
training_period_mean,constant control,False,False,False,0.34893236181340676,-0.043441632178206735,0.3474788618078087,-0.08315658816367304,False,"{""fixed_control"": true}",10
