model,model_role,configuration_status,aggregation,target,noise_seed_count,mean_validation_normalized_rmse,std_validation_normalized_rmse_across_seeds,mean_test_normalized_rmse,std_test_normalized_rmse_across_seeds,min_test_normalized_rmse,max_test_normalized_rmse,mean_test_r2,mean_test_delta_vs_reference,std_test_delta_vs_reference,test_seed_wins_vs_reference,test_seed_ties_vs_reference,primary_seed_test_normalized_rmse
training_period_mean,baseline,fixed_training_only,overall_mean_across_targets,all,10,0.34893236181340676,0.0,0.34747886180780874,5.851389114294502e-17,0.3474788618078087,0.3474788618078087,-0.08315658816367302,3.349538076080627e-06,1.1302474035960033e-05,3,0,0.3474788618078087
training_period_mean,baseline,fixed_training_only,per_target,CO,10,0.4477864124215663,5.851389114294502e-17,0.4496843623704206,5.851389114294502e-17,0.44968436237042064,0.44968436237042064,-0.015699488106189374,1.1610244007836945e-05,3.678552041750636e-05,2,0,0.44968436237042064
training_period_mean,baseline,fixed_training_only,per_target,O3,10,0.27016358328153695,0.0,0.30986944680196504,0.0,0.30986944680196504,0.30986944680196504,-0.035382354826414275,-1.4435632487752591e-05,4.6698675235567485e-05,4,0,0.30986944680196504
training_period_mean,baseline,fixed_training_only,per_target,SO2,10,0.2382403854096445,0.0,0.23559599593843034,2.925694557147251e-17,0.23559599593843036,0.23559599593843036,-0.43542419579497116,8.042874856400984e-06,2.529586159135257e-05,3,0,0.23559599593843036
training_period_mean,baseline,fixed_training_only,per_target,NO2,10,0.33717857234992443,0.0,0.3365701291861809,0.0,0.3365701291861809,0.3365701291861809,-4.3702518669475054e-05,2.8777724301043417e-06,6.47473081288688e-06,4,0,0.3365701291861809
training_period_mean,baseline,fixed_training_only,per_target,PM2.5,10,0.42273941449452457,5.851389114294502e-17,0.39202241991096465,0.0,0.39202241991096465,0.39202241991096465,-0.003274785728855978,7.435367875252563e-06,3.017237930866794e-05,5,0,0.39202241991096465
training_period_mean,baseline,fixed_training_only,per_target,PM10,10,0.37748580292324385,0.0,0.3611308166388906,0.0,0.3611308166388906,0.3611308166388906,-0.009115002006937933,4.566601774746992e-06,1.7652824776920758e-05,4,0,0.3611308166388906
ridge_validation_selected,confirmatory_reference,validation_selected_per_noise_seed,overall_mean_across_targets,all,10,0.34892954400909987,6.2867018980004525e-06,0.3474755122697326,1.130247403596003e-05,0.34744344415084,0.34748148391406847,-0.08313415316258452,0.0,0.0,0,10,0.34744344415084
ridge_validation_selected,confirmatory_reference,validation_selected_per_noise_seed,per_target,CO,10,0.4477849210463008,2.623808557153149e-06,0.4496727521264128,3.678552041750636e-05,0.4495682220932946,0.4496895175130611,-0.01564704691736729,0.0,0.0,0,10,0.4495682220932946
ridge_validation_selected,confirmatory_reference,validation_selected_per_noise_seed,per_target,O3,10,0.27016407288152683,1.8061151272592626e-05,0.30988388243445286,4.6698675235567485e-05,0.3098528563960796,0.3100153078744976,-0.035478847245899135,0.0,0.0,0,10,0.3100153078744976
ridge_validation_selected,confirmatory_reference,validation_selected_per_noise_seed,per_target,SO2,10,0.23823118686509628,2.4075226712481927e-05,0.23558795306357397,2.5295861591352572e-05,0.23551812582452616,0.23561064612002414,-0.43532620613531614,0.0,0.0,0,10,0.23551812582452616
ridge_validation_selected,confirmatory_reference,validation_selected_per_noise_seed,per_target,NO2,10,0.3371784068435517,5.389192918954037e-06,0.3365672514137508,6.4747308128868795e-06,0.3365528421313908,0.336574840356802,-2.660159621705738e-05,0.0,0.0,0,10,0.3365528421313908
ridge_validation_selected,confirmatory_reference,validation_selected_per_noise_seed,per_target,PM2.5,10,0.42273412969294216,1.8692903171278397e-05,0.3920149845430894,3.0172379308667932e-05,0.3919294215371063,0.39202891634277437,-0.0032367338340808516,0.0,0.0,0,10,0.3919294215371063
ridge_validation_selected,confirmatory_reference,validation_selected_per_noise_seed,per_target,PM10,10,0.37748454672518117,1.4363397601194301e-05,0.3611262500371158,1.7652824776920758e-05,0.3610767454442246,0.3611364845054828,-0.009089483246626572,0.0,0.0,0,10,0.3610767454442246
multitask_elastic_net_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,overall_mean_across_targets,all,10,0.3490982687773221,0.00018164320005878832,0.347740593310568,0.00020579585922030834,0.34744951940245666,0.34799324425827055,-0.08508938960250041,0.00026508104083538544,0.0002001960770767333,0,0,0.34744951940245666
multitask_elastic_net_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,per_target,CO,10,0.44794806327294917,0.00022324389733729158,0.44989644756530317,0.0002880189729758855,0.44945190894674797,0.45030228542474743,-0.016658160261659317,0.00022369543889040334,0.00026986995205633004,3,0,0.44945190894674797
multitask_elastic_net_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,per_target,O3,10,0.27029615603225987,0.00019237460206113555,0.31003738066413555,0.00012265826431622246,0.3098689940862984,0.310212744337844,-0.03650505664378798,0.00015349822968282467,0.0001293496478442861,1,0,0.31003007774879265
multitask_elastic_net_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,per_target,SO2,10,0.23843150895459003,0.00028389452539172977,0.23603135629071179,0.0002904738696722819,0.23565232124711666,0.2364915792731497,-0.44073613260656275,0.00044340322713782855,0.0002768847749093613,0,0,0.23565232124711666
multitask_elastic_net_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,per_target,NO2,10,0.3373555404481469,0.00019778328568344797,0.33682038350921956,0.00024864909739817864,0.3364093814844043,0.3371277177665627,-0.0015318973765582444,0.0002531320954687888,0.00024804252703127563,2,0,0.33675951414592303
multitask_elastic_net_frozen,confirmatory_candidate,frozen_before_noise_seed_stability_study,per_target,PM2.5,10,0.42287085519723683,0.00028150874818849226,0.3922505142000883,0.00024245237746044792,0.3918114224059903,0.3924704643025851,-0.004442961372279797,0.00023552965699885075,0.00022332737879963635,3,0,0.3918114224059903
