elevation_deg,geometry,target,apparent_elevation_deg,atmospheric_path_m,total_path_m,peak_db_per_ug_m3,rms_db_per_ug_m3
5,plane_parallel,H2CO,5.0,229474.26491339717,2204970.5941303773,0.007685443855935225,0.0013804809444425273
5,plane_parallel,CH3OH,5.0,229474.26491339717,2204970.5941303773,0.0028024620133664017,0.0005793420584997132
5,plane_parallel,CH3CN,5.0,229474.26491339717,2204970.5941303773,0.027413526923916784,0.00811597657148225
5,plane_parallel,CO,5.0,229474.26491339717,2204970.5941303773,7.332048029140555e-05,7.410086439767958e-06
5,plane_parallel,O3,5.0,229474.26491339717,2204970.5941303773,0.00022351704327803823,5.720727713623469e-05
5,plane_parallel,SO2,5.0,229474.26491339717,2204970.5941303773,0.0020874622576633464,0.0005312508845723554
5,plane_parallel,NO2,5.0,229474.26491339717,2204970.5941303773,7.941618480379758e-05,1.8817718779509876e-05
5,plane_parallel,CH4,5.0,229474.26491339717,2204970.5941303773,7.001652731477514e-10,1.2461494949713558e-10
5,spherical,H2CO,4.999999999999919,195439.7116026841,2204970.594111268,0.0074197146122709405,0.0013368876095913298
5,spherical,CH3OH,4.999999999999919,195439.7116026841,2204970.594111268,0.002705664840549825,0.0005612845777031364
5,spherical,CH3CN,4.999999999999919,195439.7116026841,2204970.594111268,0.026486761208565447,0.007865811847785138
5,spherical,CO,4.999999999999919,195439.7116026841,2204970.594111268,7.078226389063225e-05,7.170091691592353e-06
5,spherical,O3,4.999999999999919,195439.7116026841,2204970.594111268,0.0002163015076843936,5.548545211300429e-05
5,spherical,SO2,4.999999999999919,195439.7116026841,2204970.594111268,0.0020176130180413455,0.0005152186663266046
5,spherical,NO2,4.999999999999919,195439.7116026841,2204970.594111268,7.681230838180483e-05,1.8235190811810384e-05
5,spherical,CH4,4.999999999999919,195439.7116026841,2204970.594111268,6.812759849773985e-10,1.215383208548623e-10
5,refracted,H2CO,5.171672767147258,193779.2047697148,2204970.76531418,0.0072366648655874544,0.0013031258890772643
5,refracted,CH3OH,5.171672767147258,193779.2047697148,2204970.76531418,0.002638888245146526,0.0005470651762727603
5,refracted,CH3CN,5.171672767147258,193779.2047697148,2204970.76531418,0.025829410903278296,0.007665991580148224
5,refracted,CO,5.171672767147258,193779.2047697148,2204970.76531418,6.903802153389984e-05,6.990256835340615e-06
5,refracted,O3,5.171672767147258,193779.2047697148,2204970.76531418,0.0002108685476542051,5.406785262671417e-05
5,refracted,SO2,5.171672767147258,193779.2047697148,2204970.76531418,0.0019673974050907427,0.0005020630661790076
5,refracted,NO2,5.171672767147258,193779.2047697148,2204970.76531418,7.489078677198034e-05,1.777245297166689e-05
5,refracted,CH4,5.171672767147258,193779.2047697148,2204970.76531418,6.634366825005219e-10,1.1829645548620492e-10
15,plane_parallel,H2CO,15.0,77274.06610312547,1518016.7180143422,0.0025880265779673773,0.0004648685803404399
15,plane_parallel,CH3OH,15.0,77274.06610312547,1518016.7180143422,0.000943712075748894,0.000195089922356753
15,plane_parallel,CH3CN,15.0,77274.06610312547,1518016.7180143422,0.009231338827637235,0.002733005857161469
15,plane_parallel,CO,15.0,77274.06610312547,1518016.7180143422,2.4690226779413484e-05,2.4953016391297872e-06
