altitude_m,molecule,profile,self_fraction,peak_normalized_error,passed
0,H2CO,voigt,0.0,1.6086953533389381e-07,True
0,H2CO,lorentz,0.0,1.6086953396774058e-07,True
0,CH3OH,voigt,0.0,3.0374516398697563e-07,True
0,CH3OH,lorentz,0.0,3.0374516611861166e-07,True
0,CH3CN,voigt,0.0,6.106743264410527e-07,True
0,CH3CN,lorentz,0.0,6.10675419263306e-07,True
0,CO,voigt,0.0,2.9737833926332987e-08,True
0,CO,lorentz,0.0,0.0012576545801826148,False
0,O3,voigt,0.0,4.2530389899119974e-07,True
0,O3,lorentz,0.0,4.2530389866273677e-07,True
0,SO2,voigt,0.0,2.961039639579732e-07,True
0,SO2,lorentz,0.0,2.9610396572203317e-07,True
0,NO2,voigt,0.0,3.4227463421877737e-07,True
0,NO2,lorentz,0.0,3.4227463340573056e-07,True
0,H2O,voigt,0.008899572166560779,3.6526449035373897e-07,True
0,H2O,lorentz,0.008899572166560779,0.03758062847558329,False
0,O2,voigt,0.2075958956139922,3.053435062681919e-07,True
0,O2,lorentz,0.2075958956139922,3.053435062446644e-07,True
6000,H2CO,voigt,0.0,1.413712192646964e-06,True
6000,H2CO,lorentz,0.0,1.4137121974940265e-06,True
6000,CH3OH,voigt,0.0,2.35790890221947e-06,True
6000,CH3OH,lorentz,0.0,2.3579088753509207e-06,True
6000,CH3CN,voigt,0.0,4.738971957065352e-06,True
6000,CH3CN,lorentz,0.0,4.7389720006938995e-06,True
6000,CO,voigt,0.0,2.686870474679079e-07,True
6000,CO,lorentz,0.0,0.001021047860808546,False
6000,O3,voigt,0.0,3.362503535772332e-06,True
6000,O3,lorentz,0.0,3.362503505679661e-06,True
6000,SO2,voigt,0.0,1.7734639702635954e-06,True
6000,SO2,lorentz,0.0,1.7734639596428606e-06,True
6000,NO2,voigt,0.0,2.8609766883617317e-06,True
6000,NO2,lorentz,0.0,2.8609767026964197e-06,True
6000,H2O,voigt,0.0008186167587875224,3.379995964456281e-06,True
6000,H2O,lorentz,0.0008186167587875224,0.03733007488652342,False
6000,O2,voigt,0.20928853253370439,2.439428191926968e-06,True
6000,O2,lorentz,0.20928853253370439,2.4394281927946512e-06,True
18000,H2CO,voigt,0.0,2.9512003753378065e-06,True
18000,H2CO,lorentz,0.0,2.9511991335596037e-06,True
18000,CH3OH,voigt,0.0,3.389448191355591e-06,True
18000,CH3OH,lorentz,0.0,3.3894484092097777e-06,True
18000,CH3CN,voigt,0.0,5.637913289116562e-06,True
18000,CH3CN,lorentz,0.0,5.6379128959814585e-06,True
18000,CO,voigt,0.0,3.8964724966771573e-07,True
18000,CO,lorentz,0.0,0.0045387732236682405,False
18000,O3,voigt,0.0,5.509841698654215e-06,True
18000,O3,lorentz,0.0,5.509845859909531e-06,True
18000,SO2,voigt,0.0,2.5472502474117357e-06,True
18000,SO2,lorentz,0.0,2.5472502431020173e-06,True
18000,NO2,voigt,0.0,6.239422708566844e-06,True
18000,NO2,lorentz,0.0,6.239422124082555e-06,True
18000,H2O,voigt,1.0908860834586493e-05,6.751087296246698e-06,True
18000,H2O,lorentz,1.0908860834586493e-05,0.055914642658954544,False
18000,O2,voigt,0.2094577150300096,3.3976414111708036e-06,True
18000,O2,lorentz,0.2094577150300096,3.397641020830543e-06,True
