frames,elapsed_s,residual_std_db,target,standard_error_ug_m3,control,truth_ug_m3,bias_ug_m3,mae_ug_m3,rmse_ug_m3,p95_absolute_error_ug_m3,mae_pct_of_truth,rmse_pct_of_truth,within_20pct_of_truth_pct,negative_estimate_pct,conditional_95pct_interval_coverage_pct
1,0.01,0.0,H2CO,342.3826672505372,positive,1.0,1.2477888966507193,275.67887426052084,346.9670343728789,686.7393554298644,27567.887426052082,34696.70343728789,0.04,49.9,94.46
1,0.01,0.0,H2CO,342.3826672505372,absent,0.0,-0.6025502879872336,273.91000711243214,345.2906705078455,687.487509243723,,,,49.94,94.62
1,0.01,0.0,CH3OH,835.6144576388228,positive,1.0,-0.9019256199329724,654.2623973618428,824.108163221827,1624.972794010657,65426.239736184274,82410.8163221827,0.02,49.54,95.14
1,0.01,0.0,CH3OH,835.6144576388228,absent,0.0,-16.30772488493089,658.0607615373053,827.1653278024527,1621.8327082813228,,,,50.63999999999999,95.16
1,0.01,0.0,CH3CN,79.84825060255156,positive,1.0,0.9938993546688962,62.97853646869636,79.2961984944622,154.45275660362395,6297.853646869637,7929.6198494462205,0.1,48.3,95.19999999999999
1,0.01,0.0,CH3CN,79.84825060255156,absent,0.0,0.5610013516119139,64.06032537731784,80.24177594822682,156.4548075550144,,,,49.54,95.0
1,0.01,0.0,PM2.5,6667359644.392581,positive,49.0,19625943.79285401,5369473614.028258,6745658391.947925,13212670356.85396,10958109416.384201,13766649779.485561,0.0,49.919999999999995,94.86
1,0.01,0.0,PM2.5,6667359644.392581,absent,0.0,-72874150.05180867,5394252166.159071,6744468961.567771,13084626182.259157,,,,50.0,94.88
1,0.01,0.0,PMcoarse,8183065917.680213,positive,41.0,-24082144.191873424,6590125448.425027,8279152019.891716,16216937391.116364,16073476703.475676,20193053707.052967,0.0,50.080000000000005,94.86
1,0.01,0.0,PMcoarse,8183065917.680213,absent,0.0,89412213.1635036,6620537467.485215,8277693092.265189,16057361086.000658,,,,50.0,94.88
1,0.01,0.0,PM10,1515706577.2453918,positive,90.0,-4456200.399019423,1220651834.3967688,1533493933.0597591,3004246641.7063346,1356279815.99641,1703882147.844177,0.0,50.080000000000005,94.86
1,0.01,0.0,PM10,1515706577.2453918,absent,0.0,16538063.111694913,1226285653.6308048,1533224441.6639686,2974068968.5987797,,,,49.96,94.88
1,0.01,0.001,H2CO,342.3859048514242,positive,1.0,1.2200238537980967,275.7072941207947,347.00453869196804,686.7450870842008,27570.72941207947,34700.453869196805,0.04,49.94,94.44
1,0.01,0.001,H2CO,342.3859048514242,absent,0.0,-0.6658915192624658,273.93650932549934,345.3088060816445,688.2493007545698,,,,49.980000000000004,94.67999999999999
1,0.01,0.001,CH3OH,835.6249372040841,positive,1.0,-0.9491008865698023,654.2309509672733,824.0897277814001,1626.0600752283055,65423.09509672733,82408.97277814001,0.0,49.58,95.17999999999999
1,0.01,0.001,CH3OH,835.6249372040841,absent,0.0,-16.33422899306103,657.9897730593658,827.1227842468905,1620.2867832992342,,,,50.660000000000004,95.17999999999999
1,0.01,0.001,CH3CN,79.84912487401068,positive,1.0,0.9952929930259077,62.969718855291724,79.2902018174189,154.45888076091754,6296.971885529172,7929.02018174189,0.12,48.36,95.22
1,0.01,0.001,CH3CN,79.84912487401068,absent,0.0,0.5630115481170384,64.06205709720543,80.24648478809723,156.5847485649304,,,,49.58,94.98
1,0.01,0.001,PM2.5,6667412802.13723,positive,49.0,19473653.47012807,5369473106.342279,6745725594.448872,13194323573.983034,10958108380.290367,13766786927.446678,0.0,49.86,94.89999999999999
1,0.01,0.001,PM2.5,6667412802.13723,absent,0.0,-73281200.12592359,5394441579.314352,6744527966.741907,13082239163.04323,,,,50.03999999999999,94.92
1,0.01,0.001,PMcoarse,8183131159.108717,positive,41.0,-23895296.737680055,6590122949.0065565,8279234354.902803,16194411604.866707,16073470607.333065,20193254524.15318,0.0,50.12,94.89999999999999
1,0.01,0.001,PMcoarse,8183131159.108717,absent,0.0,89911908.6794447,6620770015.926438,8277765468.158661,16055472779.782755,,,,49.96,94.92
1,0.01,0.001,PM10,1515718660.932094,positive,90.0,-4421643.267552008,1220649875.0961757,1533509065.5252304,3000088030.8836718,1356277638.9957507,1703898961.6947005,0.0,50.12,94.89999999999999
1,0.01,0.001,PM10,1515718660.932094,absent,0.0,16630708.55352114,1226328840.4815354,1533237812.3749013,2973549564.842852,,,,49.94,94.92
10,0.1,0.0,H2CO,108.27090598744878,positive,1.0,0.40149110121114967,87.1352985269159,109.64145461855576,217.23826561549095,8713.52985269159,10964.145461855576,0.22,49.519999999999996,94.48
10,0.1,0.0,H2CO,108.27090598744878,absent,0.0,-0.14434808102045277,86.61538810660508,109.19528735114308,216.58974014671196,,,,49.9,94.58
10,0.1,0.0,CH3OH,264.2444931905016,positive,1.0,-0.2511809492545306,206.90624855846232,260.6055661628108,514.5666086578198,20690.624855846232,26060.556616281083,0.04,49.5,95.08
10,0.1,0.0,CH3OH,264.2444931905016,absent,0.0,-5.163920919159541,208.08505226004488,261.5014736666217,512.0685611258982,,,,50.6,95.22
