frames,elapsed_s,residual_std_db,target,standard_error_ug_m3,tp,fp,fn,tn,positive_draws,null_draws,precision_pct,recall_pct,false_positive_rate_pct,specificity_pct,accuracy_pct,f1_pct,evaluated_positive_prevalence_pct,precision_ci95_lower_pct,precision_ci95_upper_pct,recall_ci95_lower_pct,recall_ci95_upper_pct,false_positive_ci95_lower_pct,false_positive_ci95_upper_pct,average_precision_pct
1,0.01,0.0,H2CO,342.3826672505372,63,56,4937,4944,5000,5000,52.94117647058824,1.26,1.1199999999999999,98.88,50.07,2.461418245751123,50.0,44.02213212698429,61.67626975394547,0.9861112996359368,1.608724285968232,0.8635392875722449,1.4515112545765398,50.388518866944565
1,0.01,0.0,CH3OH,835.6144576388228,47,48,4953,4952,5000,5000,49.473684210526315,0.9400000000000001,0.96,99.03999999999999,49.99,1.844946025515211,50.0,39.63757882123102,59.350699971968425,0.707655721568871,1.2476711932801345,0.7248675096817013,1.2704286970895016,50.44572229363735
1,0.01,0.0,CH3CN,79.84825060255156,52,45,4948,4955,5000,5000,53.608247422680414,1.04,0.8999999999999999,99.1,50.07,2.0404159309397687,50.0,43.73642074663673,63.20516863719662,0.7939964636342376,1.361176910825756,0.673322861097761,1.202065469906849,50.19839395739625
1,0.01,0.0,PM2.5,6667359644.392581,53,45,4947,4955,5000,5000,54.08163265306123,1.06,0.8999999999999999,99.1,50.08,2.079246763436642,50.0,44.24804159236297,63.607305427051884,0.8113451615220025,1.3837975048601892,0.673322861097761,1.202065469906849,50.35289227672368
1,0.01,0.0,PMcoarse,8183065917.680213,60,50,4940,4950,5000,5000,54.54545454545454,1.2,1.0,99.0,50.1,2.3483365949119372,50.0,45.24405818800455,63.54008785473941,0.9334535211612843,1.5414741886762913,0.7593772813946567,1.3158575092209417,49.72023123244379
1,0.01,0.0,PM10,1515706577.2453918,60,50,4940,4950,5000,5000,54.54545454545454,1.2,1.0,99.0,50.1,2.3483365949119372,50.0,45.24405818800455,63.54008785473941,0.9334535211612843,1.5414741886762913,0.7593772813946567,1.3158575092209417,49.71939683346412
1,0.01,0.001,H2CO,342.3859048514242,62,57,4938,4943,5000,5000,52.10084033613446,1.24,1.1400000000000001,98.86,50.05,2.422348114866185,50.0,43.20080721128783,60.869479846519155,0.9685385642423546,1.5863277294396163,0.88098452155523,1.4740353125157526,50.391478275967
1,0.01,0.001,CH3OH,835.6249372040841,47,48,4953,4952,5000,5000,49.473684210526315,0.9400000000000001,0.96,99.03999999999999,49.99,1.844946025515211,50.0,39.63757882123102,59.350699971968425,0.707655721568871,1.2476711932801345,0.7248675096817013,1.2704286970895016,50.445890087552655
1,0.01,0.001,CH3CN,79.84912487401068,51,45,4949,4955,5000,5000,53.125,1.02,0.8999999999999999,99.1,50.06,2.001569858712716,50.0,43.21560201442166,62.793925561467866,0.7766735898799776,1.338530492657819,0.673322861097761,1.202065469906849,50.19368354733677
1,0.01,0.001,PM2.5,6667412802.13723,53,45,4947,4955,5000,5000,54.08163265306123,1.06,0.8999999999999999,99.1,50.08,2.079246763436642,50.0,44.24804159236297,63.607305427051884,0.8113451615220025,1.3837975048601892,0.673322861097761,1.202065469906849,50.354141074309055
