band,nuisance_policy,elapsed_s,residual_std_db,pilots,sensing_tones,within_ideal_pass_above_45deg,target,control,truth_ug_m3,bias_ug_m3,mae_ug_m3,rmse_ug_m3,p95_absolute_error_ug_m3,mae_pct_of_truth,rmse_pct_of_truth,within_20pct_of_truth_pct,negative_estimate_pct
multiband_reference,reference_calibration,0.1,0.0,300,170,True,H2CO,positive,1.0,2.0982106330690193,98.96371337236991,124.39144205574948,243.17751200640868,9896.371337236991,12439.144205574949,0.2,48.559999999999995
multiband_reference,reference_calibration,0.1,0.0,300,170,True,H2CO,absent,0.0,-1.5904903307307061,97.56319569386467,122.77493581999586,243.21705923663018,,,,50.82
multiband_reference,reference_calibration,0.1,0.0,300,170,True,CH3OH,positive,1.0,6.662719758399829,230.16709788406334,287.096723298539,560.6995128766055,23016.709788406333,28709.6723298539,0.04,48.46
multiband_reference,reference_calibration,0.1,0.0,300,170,True,CH3OH,absent,0.0,-1.5658597546269604,227.2895912750119,283.6313491861457,556.8393817141102,,,,49.84
multiband_reference,reference_calibration,0.1,0.0,300,170,True,CH3CN,positive,1.0,0.2107906904729221,22.653743979423876,28.263361630112833,54.64993472009788,2265.3743979423875,2826.336163011283,0.62,47.72
multiband_reference,reference_calibration,0.1,0.0,300,170,True,CH3CN,absent,0.0,-0.04793591165759654,22.565636889214097,28.291593874246118,56.32171225048665,,,,50.42
multiband_reference,reference_calibration,0.1,0.0,300,170,True,PM2.5,positive,49.0,30712654.183864787,835697828.2242029,1048578646.5464114,2055893815.1132483,1705505771.8861284,2139956421.5232887,0.0,49.32
multiband_reference,reference_calibration,0.1,0.0,300,170,True,PM2.5,absent,0.0,-28194789.847690456,862319283.4188272,1074816651.8070908,2075769443.5207574,,,,51.0
multiband_reference,reference_calibration,0.1,0.0,300,170,True,PMcoarse,positive,41.0,-37696551.37100436,1025651206.643212,1286919195.856737,2523228038.593281,2501588308.885883,3138827306.967651,0.0,50.68
multiband_reference,reference_calibration,0.1,0.0,300,170,True,PMcoarse,absent,0.0,34595015.288947746,1058323213.8708515,1319117362.5439622,2547539597.2526164,,,,48.980000000000004
