station,datetime,geopotential_height_m,geometric_altitude_m,temperature_k,pressure_pa,water_pressure_pa,surface,pressure_flag,height_flag,temperature_flag
CHM00054511,2026-07-01T00:00:00Z,34,34.00018185444974,297.15,100270,2440.2702153994896,True,B, ,B
CHM00054511,2026-07-01T00:00:00Z,37,37.000215362334934,296.34999999999997,100230,2168.731560886481,False,B,B,B
CHM00054511,2026-07-01T00:00:00Z,48,48.00036245118943,296.04999999999995,100100,2141.7547378964855,False,B,B,B
CHM00054511,2026-07-01T00:00:00Z,57,57.00051111353375,296.04999999999995,100000,2155.206085216996,False, ,B,A
CHM00054511,2026-07-01T00:00:00Z,254,254.01014959147406,294.15,97810,2115.0730445492977,False, ,B,A
CHM00054511,2026-07-01T00:00:00Z,393,393.0242982908649,293.95,96280,2075.597852975738,False, ,B,A
CHM00054511,2026-07-01T00:00:00Z,582,582.053290464845,293.54999999999995,94340,2036.7713020241679,False, ,B,A
CHM00054511,2026-07-01T00:00:00Z,665,665.0695748856099,293.34999999999997,93450,1936.3360584848092,False, ,B,A
CHM00054511,2026-07-01T00:00:00Z,696,696.0762131316993,293.25,93120,1875.7983275240672,False, ,B,A
CHM00054511,2026-07-01T00:00:00Z,754,754.0894453943762,292.84999999999997,92500,1948.6475627180764,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,814,814.1042481126352,292.45,91880,1924.0929716816268,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,929,929.1357871512438,292.04999999999995,90670,1793.8426491214739,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,984,984.152342544159,291.75,90080,1704.0494537949305,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,1082,1082.1842011025092,291.04999999999995,89060,1726.1187233819146,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,1169,1169.21501693704,290.84999999999997,88200,1576.772130916974,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,1195,1195.2246887022425,290.65,87920,1576.7721309169744,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,1311,1311.2704324080653,289.75,86760,1546.2917116215347,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,1468,1468.3390909442799,289.34999999999997,85150,1429.494708031016,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,1484,1484.3465237262485,289.25,85000,1429.4947080310162,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,1740,1740.4764103246785,288.25,82410,1252.0384433814063,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,1768,1768.4918686048368,288.15,82140,1235.4103548200978,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,1812,1812.5166589718824,288.15,81730,1131.9964807291933,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,2026,2026.6459235153602,286.84999999999997,79670,1022.2306392035568,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,2315,2315.843381277155,284.65,76940,960.9835113873512,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,2442,2442.9384733922916,283.54999999999995,75750,974.3062870118247,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,2467,2467.9577907806984,283.45,75510,987.7920306739502,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,2503,2503.985953681804,283.45,75190,836.3529392547633,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,2612,2613.0737139830103,282.75,74180,818.9484738529152,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,2682,2683.1320473572587,282.45,73560,796.2413896425033,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,2773,2774.210188459446,281.54999999999995,72730,830.5154348430947,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,2921,2922.3428468903476,280.54999999999995,71440,774.0933482097294,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,3088,3089.500822673104,279.65,70000,685.9282806216007,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,3205,3206.616735087615,278.84999999999997,69010,647.6092600324108,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,3246,3247.658374570317,278.65,68650,638.3311911924442,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,3566,3568.001567084304,276.84999999999997,66010,527.9960666360632,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,3572,3574.0083101507685,276.84999999999997,65960,527.9960666360632,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,3901,3903.395423324752,274.65,63330,444.8681369448349,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,4129,4131.683710874712,273.15,61550,403.2209874003151,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,4250,4252.843361590903,272.34999999999997,60630,379.3506333050767,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,4292,4294.899856654273,272.15,60310,370.728760169258,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,4333,4335.955543017927,271.84999999999997,60000,367.89380625751636,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,4621,4624.36164256326,269.95,57860,325.08425096457165,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,4676,4679.442170372271,269.45,57460,317.57089006260105,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,4998,5001.93276391707,267.75,55150,242.60940417876975,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,5116,5120.120733352751,267.34999999999997,54320,221.99190378180296,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,5169,5173.206589460887,267.04999999999995,53960,244.56587817582312,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,5183,5187.229416351797,267.04999999999995,53860,220.197532781268,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,5284,5288.395927753554,266.34999999999997,53170,185.3873598855319,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,5315,5319.44768053788,266.04999999999995,52950,209.70068542351035,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,5340,5344.489637445197,265.95,52790,190.0379354431736,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,5376,5380.550401723088,265.65,52540,199.65311647762027,False, ,B,B
CHM00054511,2026-07-01T00:00:00Z,5389,5393.5724448414885,265.54999999999995,52450,204.62180960211015,False, ,B,B
