molecule,control,relative_rms,maximum_absolute_cm2
H2CO,main_isotope,0.012034126361192223,4.738080347122666e-22
H2CO,all_iso_50GHz_wings,0.072804091131953,1.1273360377891868e-21
H2CO,all_iso_300GHz_wings,0.036522454524357026,3.0870449187341367e-22
CH3OH,main_isotope,0.0,0.0
CH3OH,all_iso_50GHz_wings,0.05189144905510152,3.5904349831114944e-22
CH3OH,all_iso_300GHz_wings,0.015844133128355697,5.239374224697797e-23
CH3CN,main_isotope,0.0,0.0
CH3CN,all_iso_50GHz_wings,0.05054432649862347,6.060058907792019e-21
CH3CN,all_iso_300GHz_wings,0.008237135402619755,4.470725383060121e-22
CO,main_isotope,0.011670655144293308,4.2788245836537e-24
CO,all_iso_50GHz_wings,0.020864959430803305,2.3634141805035946e-24
CO,all_iso_300GHz_wings,0.010569889767928449,4.715938243663969e-25
O3,main_isotope,0.006570141057981465,1.0136681620926181e-23
O3,all_iso_50GHz_wings,0.04470203136859698,4.226702103223595e-23
O3,all_iso_300GHz_wings,0.019062810390796443,1.0242669689081248e-23
SO2,main_isotope,0.052264217499784986,1.222494581174862e-21
SO2,all_iso_50GHz_wings,0.05007654559286465,7.050589634335395e-22
SO2,all_iso_300GHz_wings,0.01695758745854139,1.1085340942521407e-22
NO2,main_isotope,0.0,0.0
NO2,all_iso_50GHz_wings,0.0388705902904431,1.0753763592191261e-23
NO2,all_iso_300GHz_wings,0.020802421275011855,3.403870537597675e-24
