molecule,isotopologue_id,lines,in_band_lines,zero_air_width,negative_air_width
CH3CN,1,17880,2825,0,0
CH3OH,1,4663,1372,0,0
CH4,1,5354,164,0,0
CH4,2,432,8,0,0
CH4,3,79,1,0,0
CO,1,146,15,0,0
CO,2,136,15,0,0
CO,3,133,14,0,0
CO,4,121,12,0,0
CO,5,125,12,0,0
CO,6,112,12,0,0
H2CO,1,8522,294,0,0
H2CO,2,2003,120,0,0
H2CO,3,1622,95,0,0
H2O,1,761,37,0,0
H2O,2,552,35,0,0
H2O,3,403,24,0,0
H2O,4,1213,138,0,0
H2O,5,598,66,0,0
H2O,6,486,56,0,0
H2O,7,1079,80,0,0
NO2,1,20170,1536,0,0
O2,1,241,45,0,0
O2,2,129,43,0,0
O2,3,5352,894,0,0
O3,1,17401,1301,0,0
O3,2,4477,326,0,0
O3,3,2194,164,0,0
O3,4,45845,4576,0,0
O3,5,23101,2363,0,0
SO2,1,68274,6406,0,0
SO2,2,25175,2719,0,0
SO2,3,17089,1995,0,0
SO2,4,28548,3711,0,0
