month,order,target,datetime,integration_nodes,peak_db_per_ug_m3
1,2,H2CO,2026-01-01T00:00:00Z,566,0.001034392822255479
1,2,CH3OH,2026-01-01T00:00:00Z,566,0.00037911976652366705
1,2,CH3CN,2026-01-01T00:00:00Z,566,0.0035781245118172325
4,2,H2CO,2026-04-01T00:00:00Z,434,0.000979134300031188
4,2,CH3OH,2026-04-01T00:00:00Z,434,0.0003565771176760582
4,2,CH3CN,2026-04-01T00:00:00Z,434,0.0034476291872825244
7,2,H2CO,2026-07-01T00:00:00Z,520,0.0009109354995533446
7,2,CH3OH,2026-07-01T00:00:00Z,520,0.00032874515966725416
7,2,CH3CN,2026-07-01T00:00:00Z,520,0.00326921973746663
9,1,H2CO,2026-09-01T00:00:00Z,246,0.0009081569303092439
9,1,CH3OH,2026-09-01T00:00:00Z,246,0.000328136713342222
9,1,CH3CN,2026-09-01T00:00:00Z,246,0.0032560962912249157
9,2,H2CO,2026-09-01T00:00:00Z,492,0.0009085581663983108
9,2,CH3OH,2026-09-01T00:00:00Z,492,0.0003282818899056892
9,2,CH3CN,2026-09-01T00:00:00Z,492,0.0032575910933731115
