band,draw,target,truth_ug_m3,nonlinear_estimate_ug_m3,signed_gls_ug_m3,success,active_bound,cost,evaluations
multiband_reference,0,H2CO,1.0,0.4356247141257818,12.293463667176697,True,0,163.99526456306114,12
multiband_reference,0,CH3OH,1.0,11.743051271035677,10.25179832007159,True,0,163.99526456306114,12
multiband_reference,0,CH3CN,1.0,4.3303975556076875,5.093657568546083,True,0,163.99526456306114,12
multiband_reference,0,PM2.5,49.0,999.9999999999998,203073393.12694424,True,1,163.99526456306114,12
multiband_reference,0,PMcoarse,41.0,999.9999999999998,-249223629.0131229,True,1,163.99526456306114,12
multiband_reference,1,H2CO,1.0,3.52725504074935e-28,-17.05586552972986,True,-1,168.74874495561704,9
multiband_reference,1,CH3OH,1.0,41.25501560449441,35.78303817177994,True,0,168.74874495561704,9
multiband_reference,1,CH3CN,1.0,1.0869230227717978e-28,-5.536902829855718,True,-1,168.74874495561704,9
multiband_reference,1,PM2.5,49.0,4.204804420282614e-13,-129749964.80536553,True,-1,168.74874495561704,9
multiband_reference,1,PMcoarse,41.0,8.606861746582057e-07,159260025.04638922,True,0,168.74874495561704,9
multiband_reference,2,H2CO,1.0,11.393527695655841,16.970591705375302,True,0,162.26530665967286,9
multiband_reference,2,CH3OH,1.0,7.0538185274124345e-28,-22.621185253390387,True,-1,162.26530665967286,9
multiband_reference,2,CH3CN,1.0,1.2966024113806384e-37,-3.0416721998596836,True,-1,162.26530665967286,9
multiband_reference,2,PM2.5,49.0,2.5820556102524544e-11,86521562.86035204,True,-1,162.26530665967286,9
multiband_reference,2,PMcoarse,41.0,3.043998173209828e-13,-106180378.87710768,True,-1,162.26530665967286,9
multiband_reference,3,H2CO,1.0,14.192923254631783,8.297624017194039,True,0,171.84114418227165,7
multiband_reference,3,CH3OH,1.0,7.977206734754758e-27,-25.75664175455346,True,-1,171.84114418227165,7
multiband_reference,3,CH3CN,1.0,0.8806434701853822,0.3661459974071908,True,0,171.84114418227165,7
multiband_reference,3,PM2.5,49.0,3.070313910867288e-19,-108155016.72881582,True,-1,171.84114418227165,7
multiband_reference,3,PMcoarse,41.0,6.865756235271625e-13,132724653.93679377,True,-1,171.84114418227165,7
multiband_reference,4,H2CO,1.0,1.1880441305497578e-33,4.981635961059775,True,-1,156.7479938035383,13
multiband_reference,4,CH3OH,1.0,26.233050106406946,25.859297689687473,True,0,156.7479938035383,13
multiband_reference,4,CH3CN,1.0,2.422354024334185e-13,0.8693254734484879,True,-1,156.7479938035383,13
multiband_reference,4,PM2.5,49.0,1.2792175561780085e-26,117756313.83726062,True,-1,156.7479938035383,13
multiband_reference,4,PMcoarse,41.0,1.1106535785194806e-26,-144543643.01797342,True,-1,156.7479938035383,13
multiband_reference,5,H2CO,1.0,4.452332335736951e-25,-6.934489538747435,True,-1,144.57537810222243,8
multiband_reference,5,CH3OH,1.0,7.08383953424016e-24,-1.2067778574893087,True,-1,144.57537810222243,8
multiband_reference,5,CH3CN,1.0,5.1457981694140695,4.8681060843347534,True,0,144.57537810222243,8
multiband_reference,5,PM2.5,49.0,999.9999999999998,-55261868.77087416,True,1,144.57537810222243,8
multiband_reference,5,PMcoarse,41.0,999.9999999999998,67831136.63066092,True,1,144.57537810222243,8
multiband_reference,6,H2CO,1.0,3.6184639762405825e-15,9.87917185327318,True,-1,163.48301621799814,10
multiband_reference,6,CH3OH,1.0,1.1387848502186063e-29,-45.77890426010265,True,-1,163.48301621799814,10
multiband_reference,6,CH3CN,1.0,9.870616894570345e-20,0.7521057018121275,True,-1,163.48301621799814,10
multiband_reference,6,PM2.5,49.0,1.2223964699828472e-19,119557249.85526854,True,-1,163.48301621799814,10
multiband_reference,6,PMcoarse,41.0,1.1077104976396773e-29,-146823903.67372787,True,-1,163.48301621799814,10
multiband_reference,7,H2CO,1.0,2.6086256803764657e-20,-10.278202490595579,True,-1,157.38299361901196,7
multiband_reference,7,CH3OH,1.0,2.4046825500811744e-21,-61.6069410949273,True,-1,157.38299361901196,7
multiband_reference,7,CH3CN,1.0,1.076177273077422,1.9217513148143703,True,0,157.38299361901196,7
multiband_reference,7,PM2.5,49.0,5.333268227537142e-12,12396010.917886034,True,-1,157.38299361901196,7
multiband_reference,7,PMcoarse,41.0,2.668051570512468e-18,-15286966.162946135,True,-1,157.38299361901196,7
multiband_reference,8,H2CO,1.0,4.170278306865847,0.34036661310760086,True,0,153.62080341266955,11
multiband_reference,8,CH3OH,1.0,1.4654061736653233e-23,-86.68531214829262,True,-1,153.62080341266955,11
multiband_reference,8,CH3CN,1.0,5.813160186784328e-23,-1.9020075253564592,True,-1,153.62080341266955,11
multiband_reference,8,PM2.5,49.0,999.9999999999998,-24704201.094650432,True,1,153.62080341266955,11
multiband_reference,8,PMcoarse,41.0,999.9999999999998,30360464.195827328,True,1,153.62080341266955,11
multiband_reference,9,H2CO,1.0,3.741066726218679,1.9606750351323434,True,0,161.8273967469293,10
multiband_reference,9,CH3OH,1.0,5.945924330050854e-29,-11.804180289445245,True,-1,161.8273967469293,10
