molecule,isotopologue_id,parameter,uncertainty_code,lines,fraction_pct
H2CO,1,position,6,281,95.578231292517
H2CO,1,position,5,13,4.421768707482993
H2CO,1,intensity,5,294,100.0
H2CO,1,air_width,4,185,62.925170068027214
H2CO,1,air_width,5,109,37.074829931972786
H2CO,1,self_width,3,185,62.925170068027214
H2CO,1,self_width,4,109,37.074829931972786
H2CO,1,temperature_exponent,2,185,62.925170068027214
H2CO,1,temperature_exponent,4,109,37.074829931972786
H2CO,1,pressure_shift,0,294,100.0
H2CO,2,position,6,119,99.16666666666667
H2CO,2,position,5,1,0.8333333333333334
H2CO,2,intensity,5,120,100.0
H2CO,2,air_width,4,120,100.0
H2CO,2,self_width,3,120,100.0
H2CO,2,temperature_exponent,2,120,100.0
H2CO,2,pressure_shift,0,120,100.0
H2CO,3,position,6,62,65.26315789473684
H2CO,3,position,5,21,22.105263157894736
H2CO,3,position,4,12,12.631578947368421
H2CO,3,intensity,5,95,100.0
H2CO,3,air_width,4,95,100.0
H2CO,3,self_width,3,95,100.0
H2CO,3,temperature_exponent,2,95,100.0
H2CO,3,pressure_shift,0,95,100.0
CH3OH,1,position,5,1372,100.0
CH3OH,1,intensity,0,1372,100.0
CH3OH,1,air_width,2,1372,100.0
CH3OH,1,self_width,2,1372,100.0
CH3OH,1,temperature_exponent,2,1372,100.0
CH3OH,1,pressure_shift,0,1372,100.0
CH3CN,1,position,7,1690,59.823008849557525
CH3CN,1,position,6,399,14.123893805309734
CH3CN,1,position,8,272,9.628318584070797
CH3CN,1,position,5,234,8.283185840707965
CH3CN,1,position,4,230,8.141592920353983
CH3CN,1,intensity,7,2489,88.10619469026548
CH3CN,1,intensity,8,336,11.893805309734514
CH3CN,1,air_width,8,1286,45.52212389380531
CH3CN,1,air_width,2,804,28.460176991150444
CH3CN,1,air_width,4,393,13.91150442477876
CH3CN,1,air_width,7,251,8.88495575221239
CH3CN,1,air_width,6,49,1.7345132743362832
CH3CN,1,air_width,1,42,1.4867256637168142
CH3CN,1,self_width,8,1493,52.849557522123895
CH3CN,1,self_width,2,819,28.991150442477878
CH3CN,1,self_width,4,397,14.053097345132743
CH3CN,1,self_width,7,80,2.831858407079646
CH3CN,1,self_width,6,36,1.2743362831858407
CH3CN,1,temperature_exponent,3,2616,92.60176991150442
CH3CN,1,temperature_exponent,1,209,7.398230088495575
CH3CN,1,pressure_shift,0,2825,100.0
CH4,1,position,3,153,93.29268292682927
CH4,1,position,5,11,6.7073170731707314
CH4,1,intensity,3,164,100.0
CH4,1,air_width,4,124,75.60975609756098
CH4,1,air_width,3,40,24.390243902439025
