frames,target,truth_ug_m3,mean_estimate_ug_m3,rmse_ug_m3,gaussian_predicted_sd_ug_m3,negative_estimate_fraction
1,H2CO,1.0,6.877892939553678,334.5857912910449,330.57030683723207,0.49
1,CH3OH,1.0,17.694353888320045,814.7408636501874,817.54387870497,0.4804
1,CH3CN,1.0,1.927599129932651,79.08257416569572,79.86676801884155,0.501
1,PM2.5,49.0,70404658.61489014,7479905805.063331,7323872663.208691,0.4992
1,PMcoarse,41.0,-86407658.08183946,9180192180.70343,8988688117.351831,0.5008
10,H2CO,1.0,2.862806396033417,105.7354571102082,104.53550964250341,0.4884
10,CH3OH,1.0,6.2395699864184495,257.42812468925985,258.5300743835911,0.4788
10,CH3CN,1.0,1.3013608944826105,24.991305664470044,25.25608962958756,0.4914
10,PM2.5,49.0,21643025.548244227,2362776946.259417,2316011890.872273,0.4996
10,PMcoarse,41.0,-26562532.28139947,2899869097.1260324,2842472762.7649026,0.5004
1000,H2CO,1.0,1.1863868718280914,10.571933394360357,10.453550964254328,0.454
1000,CH3OH,1.0,1.522361682198836,25.736894632237963,25.853007438358524,0.464
1000,CH3CN,1.0,1.030507522662788,2.4987618362784514,2.525608962959299,0.34
1000,PM2.5,49.0,2136814.830704002,236217666.63899446,231601189.0876436,0.501
1000,PMcoarse,41.0,-2622431.1143501205,289913243.43551457,284247276.2770009,0.499
