frames,elapsed_s,total_existing_pilots,added_sensing_pilots,residual_std_db,target,predicted_sd_ug_m3,empirical_noise_rmse_ug_m3,predicted_sd_ppb,condition,systematic_bias_allowance_for_1ug_m3_rmse_db
1,0.01,30,0,0.0,H2CO,330.57030683723207,334.2635228147639,263.80629367659395,20224.897016617822,
1,0.01,30,0,0.0,CH3OH,817.54387870497,813.7681430567123,611.3655172014015,20224.897016617822,
1,0.01,30,0,0.0,CH3CN,79.86676801884155,79.00574403283991,46.62261256332556,20224.897016617822,
1,0.01,30,0,0.0,PM2.5,7323872663.208691,7469226693.052474,,20224.897016617822,
1,0.01,30,0,0.0,PMcoarse,8988688117.351831,9167086294.174894,,20224.897016617822,
1,0.01,30,0,0.0,PM10,1664815724.1221852,1697859863.5390646,,20224.897016617822,
1,0.01,30,0,0.001,H2CO,330.57349345838,334.2667435782482,263.8088367081277,20224.87297987645,
1,0.01,30,0,0.001,CH3OH,817.5530537716963,813.7773144163045,611.3723783859332,20224.87297987645,
1,0.01,30,0,0.001,CH3CN,79.86757722230978,79.00654863179072,46.62308493976848,20224.87297987645,
1,0.01,30,0,0.001,PM2.5,7323920184.013858,7469275728.789723,,20224.87297987645,
1,0.01,30,0,0.001,PMcoarse,8988746441.970829,9167146478.137703,,20224.87297987645,
1,0.01,30,0,0.001,PM10,1664826527.938477,1697871011.766955,,20224.87297987645,
10,0.09999999999999999,300,0,0.0,H2CO,104.53550964250341,105.70340708049197,83.42287491042336,20224.89701656541,
10,0.09999999999999999,300,0,0.0,CH3OH,258.5300743835911,257.3360819344842,193.33075172431126,20224.89701656541,
10,0.09999999999999999,300,0,0.0,CH3CN,25.25608962958756,24.983809938007255,14.743364616771492,20224.89701656541,
10,0.09999999999999999,300,0,0.0,PM2.5,2316011890.872273,2361976871.0112877,,20224.89701656541,
10,0.09999999999999999,300,0,0.0,PMcoarse,2842472762.7649026,2898887219.6830945,,20224.89701656541,
10,0.09999999999999999,300,0,0.0,PM10,526460957.26749796,536910431.6552415,,20224.89701656541,
10,0.09999999999999999,300,0,0.001,H2CO,104.54558607470074,105.71359147001449,83.43091624437405,20224.65667967327,
10,0.09999999999999999,300,0,0.001,CH3OH,258.5590866295057,257.36508246688476,193.35244730199312,20224.65667967327,
10,0.09999999999999999,300,0,0.001,CH3CN,25.258648389026778,24.98635413835397,14.744858304984206,20224.65667967327,
10,0.09999999999999999,300,0,0.001,PM2.5,2316162156.582407,2362131926.996589,,20224.65667967327,
10,0.09999999999999999,300,0,0.001,PMcoarse,2842657191.253747,2899077527.490633,,20224.65667967327,
10,0.09999999999999999,300,0,0.001,PM10,526495120.05398345,536945683.484821,,20224.65667967327,
1000,10.0,30000,0,0.0,H2CO,10.453550964254328,10.570340708053553,8.342287491045518,20224.897016601768,
1000,10.0,30000,0,0.0,CH3OH,25.853007438358524,25.733608193448255,19.33307517243069,20224.897016601768,
1000,10.0,30000,0,0.0,CH3CN,2.525608962959299,2.498380993801327,1.4743364616774661,20224.897016601768,
1000,10.0,30000,0,0.0,PM2.5,231601189.0876436,236197687.10153908,,20224.897016601768,
1000,10.0,30000,0,0.0,PMcoarse,284247276.2770009,289888721.9688128,,20224.897016601768,
1000,10.0,30000,0,0.0,PM10,52646095.72684424,53691043.165617205,,20224.897016601768,
1000,10.0,30000,0,0.001,H2CO,10.553718205693261,10.671576371111104,8.422224340076623,20201.19386313889,
1000,10.0,30000,0,0.001,CH3OH,26.141108323778944,26.021602068011422,19.548519201074438,20201.19386313889,
1000,10.0,30000,0,0.001,CH3CN,2.5510158085412167,2.5236440500713613,1.4891678308114034,20201.19386313889,
1000,10.0,30000,0,0.001,PM2.5,233094871.31804404,237738879.72739217,,20201.19386313889,
1000,10.0,30000,0,0.001,PMcoarse,286080545.6956756,291780303.0103728,,20201.19386313889,
1000,10.0,30000,0,0.001,PM10,52985682.99235098,54041431.65426622,,20201.19386313889,
