frames,control,target,truth_ug_m3,mean_estimate_ug_m3,rmse_ug_m3,nonzero_fraction,draws
1,unit_voc_and_recorded_pm,H2CO,1.0,87.59809267795364,172.90354046340556,0.46,100
1,unit_voc_and_recorded_pm,CH3OH,1.0,357.5797222953369,616.9133429608054,0.48,100
1,unit_voc_and_recorded_pm,CH3CN,1.0,34.3299021035064,58.94457212431414,0.53,100
1,unit_voc_and_recorded_pm,PM2.5,49.0,132288.12618733797,344302.0228066434,0.24,100
1,unit_voc_and_recorded_pm,PMcoarse,41.0,137255.88379881,360310.7371934066,0.22,100
1,all_targets_absent,H2CO,0.0,62.99720130642462,120.91121474997352,0.45,100
1,all_targets_absent,CH3OH,0.0,410.28109319383117,629.14891780451,0.59,100
1,all_targets_absent,CH3CN,0.0,21.266309204132064,41.52667560187635,0.46,100
1,all_targets_absent,PM2.5,0.0,135078.1934756373,349803.94933241315,0.25,100
1,all_targets_absent,PMcoarse,0.0,143324.59655501632,429922.1237193538,0.2,100
10,unit_voc_and_recorded_pm,H2CO,1.0,28.135460472602805,54.84809918944282,0.46,100
10,unit_voc_and_recorded_pm,CH3OH,1.0,113.0652020040977,194.28352476664614,0.48,100
10,unit_voc_and_recorded_pm,CH3CN,1.0,11.197994958723056,18.619490336293698,0.53,100
10,unit_voc_and_recorded_pm,PM2.5,49.0,42781.39475023248,109239.84838036152,0.24,100
10,unit_voc_and_recorded_pm,PMcoarse,41.0,42458.159498771085,113190.33126423243,0.21,100
10,all_targets_absent,H2CO,0.0,19.921464234443683,38.23548332676627,0.45,100
10,all_targets_absent,CH3OH,0.0,129.74227353963133,198.95435676923134,0.59,100
10,all_targets_absent,CH3CN,0.0,6.724997451045999,13.131887855687284,0.46,100
10,all_targets_absent,PM2.5,0.0,42715.47536039099,110617.72144125619,0.25,100
10,all_targets_absent,PMcoarse,0.0,45323.21698385743,135953.31274498597,0.2,100
1000,unit_voc_and_recorded_pm,H2CO,1.0,3.2711635486073196,5.574729644019588,0.48,100
1000,unit_voc_and_recorded_pm,CH3OH,1.0,11.525581286374226,19.19287088690724,0.47,100
1000,unit_voc_and_recorded_pm,CH3CN,1.0,1.6816802347848303,1.9552550949490506,0.72,100
1000,unit_voc_and_recorded_pm,PM2.5,49.0,4555.910195229514,11395.478906089682,0.24,100
1000,unit_voc_and_recorded_pm,PMcoarse,41.0,4670.439501069833,11882.24497549085,0.23,100
1000,all_targets_absent,H2CO,0.0,1.9921464234443678,3.823548332676626,0.45,100
1000,all_targets_absent,CH3OH,0.0,12.974227353963128,19.89543567692313,0.59,100
1000,all_targets_absent,CH3CN,0.0,0.6724997451045998,1.3131887855687274,0.46,100
1000,all_targets_absent,PM2.5,0.0,4271.547536039097,11061.772144125618,0.25,100
1000,all_targets_absent,PMcoarse,0.0,4532.321698385738,13595.331274498589,0.2,100
