frames,target,truth_ug_m3,mean_estimate_ug_m3,rmse_ug_m3,gaussian_predicted_sd_ug_m3,negative_estimate_fraction
1,H2CO,1.0,4.022881327230974,339.0909865372879,342.22925855105535,0.487
1,CH3OH,1.0,-19.091384788597665,833.6941303341283,836.1418522351183,0.5054
1,CH3CN,1.0,-0.2588792350308248,79.08954627125469,79.83215269674913,0.4976
1,PM2.5,49.0,15608742.28317692,6811004309.663555,6703673672.670658,0.5006
1,PMcoarse,41.0,-19148070.063639995,8359372589.72459,8227638443.441377,0.4994
10,H2CO,1.0,1.9572443191785063,107.15768709737601,108.22239389722522,0.483
10,CH3OH,1.0,-5.309524290532671,263.54927938381735,264.41127000548704,0.5046
10,CH3CN,1.0,0.5976351020466305,24.9946606730579,25.2451433036041,0.4872
10,PM2.5,49.0,4166015.7343672896,2151694979.1578298,2119887749.6220894,0.4992
10,PMcoarse,41.0,-5110021.855485603,2640846807.1270604,2601807724.572994,0.5008
1000,H2CO,1.0,1.0957248104527533,10.71413714083301,10.82223938972076,0.4504
1000,CH3OH,1.0,0.3708810692911429,26.35341329622578,26.44112700055043,0.4908
1000,CH3CN,1.0,0.9595935130370277,2.4991117990492246,2.5245143303611637,0.351
1000,PM2.5,49.0,382607.91963276814,215115562.08729315,211988774.96228886,0.5
1000,PMcoarse,41.0,-469183.8971912668,264018478.89539218,260180772.45739767,0.5
