frames,elapsed_s,total_existing_pilots,added_sensing_pilots,residual_std_db,target,predicted_sd_ug_m3,empirical_noise_rmse_ug_m3,predicted_sd_ppb,condition,systematic_bias_allowance_for_1ug_m3_rmse_db
1,0.01,30,0,0.0,H2CO,342.22925855105535,338.75891620331083,273.1105317650214,16753.71206532345,
1,0.01,30,0,0.0,CH3OH,836.1418522351183,833.2795272767592,625.2732229555783,16753.71206532345,
1,0.01,30,0,0.0,CH3CN,79.83215269674913,79.01726643717656,46.60240570143916,16753.71206532345,
1,0.01,30,0,0.0,PM2.5,6703673672.670658,6801860057.166804,,16753.71206532345,
1,0.01,30,0,0.0,PMcoarse,8227638443.441377,8348148898.750405,,16753.71206532345,
1,0.01,30,0,0.0,PM10,1523965079.3763998,1546289147.2139251,,16753.71206532345,
1,0.01,30,0,0.001,H2CO,342.2325186334149,338.76215642982106,273.1131334210883,16753.701291063775,
1,0.01,30,0,0.001,CH3OH,836.1523978587801,833.2900384648938,625.2811090529881,16753.701291063775,
1,0.01,30,0,0.001,CH3CN,79.83303123375634,79.01814018463494,46.60291855167119,16753.701291063775,
1,0.01,30,0,0.001,PM2.5,6703727438.782345,6801915292.047393,,16753.701291063775,
1,0.01,30,0,0.001,PMcoarse,8227704431.575983,8348216689.641633,,16753.701291063775,
1,0.01,30,0,0.001,PM10,1523977301.402224,1546301703.2273145,,16753.701291063775,
10,0.09999999999999999,300,0,0.0,H2CO,108.22239389722522,107.12497528931567,86.36513333574423,16753.71206538315,
10,0.09999999999999999,300,0,0.0,CH3OH,264.41127000548704,263.506123378281,197.72875444538667,16753.71206538315,
10,0.09999999999999999,300,0,0.0,CH3CN,25.2451433036041,24.987453642180792,14.736974645974145,16753.71206538315,
10,0.09999999999999999,300,0,0.0,PM2.5,2119887749.6220894,2150937010.646497,,16753.71206538315,
10,0.09999999999999999,300,0,0.0,PMcoarse,2601807724.572994,2639916476.639404,,16753.71206538315,
10,0.09999999999999999,300,0,0.0,PM10,481920072.5405916,488979562.64169604,,16753.71206538315,
10,0.09999999999999999,300,0,0.001,H2CO,108.23270257761247,107.135221181568,86.37336001161138,16753.604339654277,
10,0.09999999999999999,300,0,0.001,CH3OH,264.444616085309,263.53936057213593,197.75369089695585,16753.604339654277,
10,0.09999999999999999,300,0,0.001,CH3CN,25.247921284354828,24.990216478549065,14.738596305688972,16753.604339654277,
10,0.09999999999999999,300,0,0.001,PM2.5,2120057761.8098578,2151111667.0674253,,16753.604339654277,
10,0.09999999999999999,300,0,0.001,PMcoarse,2602016383.648,2640130836.013476,,16753.604339654277,
10,0.09999999999999999,300,0,0.001,PM10,481958719.4369897,489019265.60359335,,16753.604339654277,
1000,10.0,30000,0,0.0,H2CO,10.82223938972076,10.712497528927718,8.636513333573017,16753.712065389485,
1000,10.0,30000,0,0.0,CH3OH,26.44112700055043,26.350612337832644,19.77287544453996,16753.712065389485,
1000,10.0,30000,0,0.0,CH3CN,2.5245143303611637,2.498745364219009,1.4736974645978544,16753.712065389485,
1000,10.0,30000,0,0.0,PM2.5,211988774.96228886,215093701.0646354,,16753.712065389485,
1000,10.0,30000,0,0.0,PMcoarse,260180772.45739767,263991647.66392347,,16753.712065389485,
1000,10.0,30000,0,0.0,PM10,48192007.25407731,48897956.26416653,,16753.712065389485,
1000,10.0,30000,0,0.001,H2CO,10.924670777401452,10.81430279471491,8.718257047939652,16743.13732897158,
1000,10.0,30000,0,0.001,CH3OH,26.77229905753476,26.680704707644015,20.02052842216557,16743.13732897158,
1000,10.0,30000,0,0.001,CH3CN,2.5520806532897997,2.526161849205815,1.4897894390895996,16743.13732897158,
1000,10.0,30000,0,0.001,PM2.5,213676983.36503154,216827909.6694133,,16743.13732897158,
1000,10.0,30000,0,0.001,PMcoarse,262252741.5961764,266120077.14043254,,16743.13732897158,
1000,10.0,30000,0,0.001,PM10,48575768.081100024,49292177.222852565,,16743.13732897158,
