frames,control,target,truth_ug_m3,mean_estimate_ug_m3,rmse_ug_m3,nonzero_fraction,draws
1,unit_voc_and_recorded_pm,H2CO,1.0,104.70989510577023,192.76945916907005,0.47,100
1,unit_voc_and_recorded_pm,CH3OH,1.0,263.796986374687,481.71697763500185,0.44,100
1,unit_voc_and_recorded_pm,CH3CN,1.0,23.541493621643053,46.18560717034686,0.4,100
1,unit_voc_and_recorded_pm,PM2.5,49.0,162395.2576088081,406562.7709696473,0.26,100
1,unit_voc_and_recorded_pm,PMcoarse,41.0,74066.08713204744,267210.8158254619,0.11,100
1,all_targets_absent,H2CO,0.0,87.01496377347841,168.56333790401004,0.41,100
1,all_targets_absent,CH3OH,0.0,372.82801951927564,609.061749556554,0.57,100
1,all_targets_absent,CH3CN,0.0,34.3294174943624,54.12317526247573,0.58,100
1,all_targets_absent,PM2.5,0.0,176776.2136914787,400618.9415006875,0.29,100
1,all_targets_absent,PMcoarse,0.0,146884.01554064537,466986.9342837687,0.17,100
10,unit_voc_and_recorded_pm,H2CO,1.0,33.688228983263656,61.06269207683478,0.47,100
10,unit_voc_and_recorded_pm,CH3OH,1.0,83.71319546038008,151.7643262640492,0.44,100
10,unit_voc_and_recorded_pm,CH3CN,1.0,7.72354861974593,14.631204943092582,0.4,100
10,unit_voc_and_recorded_pm,PM2.5,49.0,51277.00147683645,127884.1622249134,0.27,100
10,unit_voc_and_recorded_pm,PMcoarse,41.0,23189.20804822916,83509.9462236349,0.12,100
10,all_targets_absent,H2CO,0.0,27.516547604123172,53.30440777772648,0.41,100
10,all_targets_absent,CH3OH,0.0,117.89857172106258,192.60223642857594,0.57,100
10,all_targets_absent,CH3CN,0.0,10.855915002901584,17.1152508029905,0.58,100
10,all_targets_absent,PM2.5,0.0,55901.54714057153,126686.8328947928,0.29,100
10,all_targets_absent,PMcoarse,0.0,46448.80409800068,147674.2349876079,0.17,100
1000,unit_voc_and_recorded_pm,H2CO,1.0,3.8807145104005674,6.184505587211142,0.56,100
1000,unit_voc_and_recorded_pm,CH3OH,1.0,8.561312646360122,14.902526080682172,0.44,100
1000,unit_voc_and_recorded_pm,CH3CN,1.0,1.1965544079106523,1.6275351572832477,0.54,100
1000,unit_voc_and_recorded_pm,PM2.5,49.0,5569.772702650242,13503.700163614503,0.28,100
1000,unit_voc_and_recorded_pm,PMcoarse,41.0,2485.667024589524,8705.426517971755,0.13,100
1000,all_targets_absent,H2CO,0.0,2.751654760412316,5.3304407777726475,0.41,100
1000,all_targets_absent,CH3OH,0.0,11.789857172106256,19.260223642857596,0.57,100
1000,all_targets_absent,CH3CN,0.0,1.0855915002901582,1.7115250802990496,0.58,100
1000,all_targets_absent,PM2.5,0.0,5590.154714057143,12668.683289479264,0.29,100
1000,all_targets_absent,PMcoarse,0.0,4644.880409800072,14767.4234987608,0.17,100
